,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
Multiboson,4368.84857397781,25.020715206028754,12.61043217037555,11.507713601115729,10.986124192544604,10.765963760886407,7.10683101019711,2.0378118666603973
DY-M4to50,356.1917773497022,4.3402244997614225,2.2892476666335053,2.2736522796883554,2.2736522796883554,2.248733009346499,1.0891464484997806,0.22508400166866444
SingleTop,3464.6344982164323,27.84540426174459,10.376334440893114,9.475084506903972,9.475084506903972,9.401112842005872,5.23136046410662,2.0544553036656015
QCD,46462.37021474422,354.9130052666856,109.98098803955139,109.98098803955139,109.98098803955139,102.61176287665047,0.0,0.0
TTX,394.77215439186006,5.876678536259564,1.5396541641387742,1.5131081259503794,1.5048718252235584,1.485133685397167,0.0067132130899470455,0.5465669120570571
ZGamma,1609.7061698976347,13.995024512342406,7.9258521173376755,7.058489594351692,7.058489594351692,7.058489594351692,5.023109717045456,1.0046219297953367
TTbar,20616.453707648056,286.9269296956016,101.6457215106856,94.95560338124837,93.46056196264642,92.9079288533876,57.972189065694224,21.594269921703916
ZJets,49631.75963517044,293.8450709301656,170.80847115211554,160.57451295929346,158.48184940234634,157.07515440275978,107.14341024880798,36.800631282871905
DY-M50,4144.212640085395,41.954788971671995,21.21018220985465,20.167328553278278,20.156631218113027,20.055672650874847,12.858777297446798,5.263955516504251
WJets,169595.36752947335,855.1598898486202,463.0130953140462,440.5947191572232,437.2922922263835,433.2002513020582,271.731280914497,90.07732170466772
Total,300644.3169009549,1909.8777317288818,901.3999787856319,858.1012001986048,850.6705452477529,836.8102029777185,468.16281837938493,159.60471843959485
