,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
DY-M4to50,25923,343,320,319,302,161,160,160,155,74,26
DY-M50,272468,3265,3054,3022,2885,1152,1132,1131,1100,551,222
SingleTop,46314,324,302,297,284,103,91,91,89,44,15
TTbar,519733,7192,6665,6626,6349,2223,2069,2035,2021,1260,464
ZJets,729756,5715,5381,5346,5134,2928,2821,2812,2763,1589,530
Multiboson,24553,165,150,150,142,77,72,71,69,47,18
QCD,31603,167,160,159,153,42,42,42,35,0,0
TTX,141391,1937,1800,1787,1715,513,492,479,464,296,110
ZGamma,6511,70,68,68,65,35,31,31,31,17,3
WJets,1171204,6465,6075,6030,5734,2608,2537,2532,2452,1189,434
Total,2969456,25643,23975,23804,22763,9842,9447,9384,9179,5067,1822
