,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
DY-M4to50,376.9379586129626,4.507910807717856,4.3402244997614225,4.335240645693051,4.165622863516507,2.1963191697026403,2.1807237827574895,2.1807237827574895,2.1558045124156333,1.05795567460948,0.22508400166866444
DY-M50,4354.468764761891,45.49170582324649,41.954788971671995,41.58425494670336,39.29573005151786,19.621307740996837,18.62516676288889,18.61446942772364,18.514776954596364,11.82983783977479,4.568406911821298
SingleTop,3665.006769733427,30.54382825944044,27.84540426174459,27.66762552510678,26.11857238559125,9.513284703245915,8.856073919923062,8.856073919923062,8.782102255024963,4.612349803549881,1.8034351105873245
TTbar,22073.225668851308,309.4402961955025,286.92693206763636,285.2996113749312,273.32483737882546,96.39535563993401,89.99886560207493,88.67845668389512,88.1258205065262,55.2491869491746,20.20495287271001
ZJets,51827.177158302235,312.2973405189929,293.84507093016555,292.0269911825135,280.2046224808313,162.87054175801143,152.6969033951828,150.60423983823566,149.2277812835311,102.00113271889114,34.317907645235096
Multiboson,4593.859139715373,27.830608849794867,25.020715206028754,25.020715206028754,23.39801339556087,11.86875734086188,10.766038771602057,10.452045899554864,10.231885467896667,7.10683101019711,2.0378118666603973
QCD,53319.989235379304,713.3087427429751,354.9130052666856,354.6770804569331,340.4187589010662,109.43840704120399,109.43840704120399,109.43840704120399,102.06918187830307,0.0,0.0
TTX,423.5654849394884,5.689514111786401,5.876678536259564,5.713469961068035,5.313253856641524,1.520670397442842,1.4956362358359816,1.4889118116906952,1.4691736951411323,-0.1434784102930067,0.4001565009903534
ZGamma,1665.2529797328907,13.182915492756553,13.995024512342406,13.995024512342406,12.990402178131871,7.9258521173376755,7.058489594351692,7.058489594351692,7.058489594351692,5.023109717045456,1.0046219297953367
WJets,177451.7502507543,909.7657435398786,855.1598898486202,849.7672170624883,804.2470311360738,436.78672897375725,414.71856300639246,412.11655645446905,408.1774336932029,256.3745564346591,82.76062996171243
Total,319751.23341078317,2372.0586063420915,1909.8777341009163,1900.0872308738083,1809.4768446277567,858.1372248824946,815.8348681122134,809.4883744538052,795.8124498409896,443.1114817376085,147.3230068011809
