,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
DY-M50,0.0003939941770486602,4.06762315410517e-06,3.765147771450391e-06,3.7325292819692438e-06,3.5279990939663785e-06,1.8030299952963629e-06,1.7119308385245206e-06,1.710962939110669e-06,1.7013661708121797e-06,1.091017836189019e-06,4.4471517297253404e-07
DY-M4to50,2.6456099600495896e-05,3.2355276024893506e-07,3.128327848425781e-07,3.124829836707556e-07,3.0167263216372506e-07,1.6581158049062304e-07,1.647169889248189e-07,1.647169889248189e-07,1.629679830657068e-07,8.831681761426297e-08,1.8686729488471357e-08
ZGamma,0.0003247032637400491,3.2170821404888296e-06,3.2143886804075877e-06,3.2143886804075877e-06,3.0506508754557017e-06,1.4567784149808549e-06,1.1266093043768505e-06,1.1266093043768505e-06,1.1266093043768505e-06,8.1839845515718e-07,1.9588856672197393e-07
Multiboson,0.0006591377388398072,3.6384497453698134e-06,3.380239520077872e-06,3.380239520077872e-06,3.1474104389865152e-06,1.5361848764136335e-06,1.4017838803126014e-06,1.356731442830631e-06,1.3251423059475131e-06,8.769547128315429e-07,3.374424880081348e-07
WJets,0.0010132927439486308,4.594746626935353e-06,4.327204546911876e-06,4.303227730257477e-06,4.0545743487583586e-06,2.229165319293228e-06,2.106753940737728e-06,2.091895849143562e-06,2.0769268985579837e-06,1.2886490841108641e-06,5.054939210960207e-07
TTX,0.00136440404821353,2.2498485526397733e-05,2.2620272395158018e-05,2.2094540089730062e-05,2.082752934912957e-05,5.305468840893297e-06,4.7558954413180875e-06,4.734234526675919e-06,4.682833568233285e-06,-4.965283435554432e-07,4.0472402518006176e-07
SingleTop,0.00023564103448618862,1.84316323488142e-06,1.6924929087645476e-06,1.6862363565485741e-06,1.591813932393932e-06,6.352680808193888e-07,5.930128171323468e-07,5.930128171323468e-07,5.882568205586975e-07,3.397633858699572e-07,1.477813446692162e-07
ZJets,0.0024216620193762486,1.1281033025319986e-05,1.0613250863514035e-05,1.0545379772120439e-05,1.002269599387141e-05,5.861714011031739e-06,5.4821988085635815e-06,5.437536030424215e-06,5.384324314207084e-06,3.6324570517860497e-06,1.6529954151375775e-06
TTbar,0.00044364699305655047,5.994990803605693e-06,5.551331572379965e-06,5.5195498725532285e-06,5.2764788852033e-06,1.8863370686564737e-06,1.7699631339049429e-06,1.7445425088895297e-06,1.733435241125192e-06,1.0894682208940041e-06,4.2233555263417835e-07
QCD,2.482419777063774e-06,3.051320097376279e-08,1.4058425032514581e-08,1.4047441076553066e-08,1.3358355168137395e-08,3.3888271410073962e-09,3.3888271410073962e-09,3.3888271410073962e-09,3.327321276835786e-09,0.0,0.0
Total,1.4681914291403445e-05,9.765671499085351e-08,7.72575012855264e-08,7.688582167956441e-08,7.282839973431789e-08,3.372423759581559e-08,3.1895391742024735e-08,3.1658734902128755e-08,3.137979009187879e-08,1.774103103889539e-08,7.15727884456152e-09
