,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
DY-M50,272468,3241,3039,3009,2872,1170,1149,1148,1114,568,235
DY-M4to50,25923,322,302,301,285,155,154,154,149,77,30
ZGamma,6511,77,74,74,70,39,34,34,34,16,3
Multiboson,24553,155,144,144,136,72,68,67,65,41,19
WJets,1171204,5836,5485,5447,5153,2386,2319,2314,2243,1100,470
TTX,141391,1942,1801,1788,1717,517,492,479,464,296,115
SingleTop,46314,296,278,275,264,101,89,89,87,45,17
ZJets,729756,4411,4151,4122,3921,2253,2166,2161,2121,1220,549
TTbar,519733,6947,6433,6395,6115,2168,2028,1995,1981,1241,483
QCD,31603,132,127,126,119,31,31,31,28,0,0
Total,2969456,23359,21834,21681,20652,8892,8530,8472,8286,4604,1921
