,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
DY-M50,4354.468764761891,44.955836921380815,41.61284435294759,41.25234107174852,38.99185001124394,19.92729399012698,18.920455676853784,18.90975834168853,18.803693759436424,12.05805406838904,4.915043020256145
DY-M4to50,376.9379586129626,4.609875181658935,4.457140435907614,4.452156581839242,4.298134186607849,2.362429821792509,2.3468344348473584,2.3468344348473584,2.3219151645055023,1.2583094804379111,0.2662424836957076
ZGamma,1665.2529797328907,16.49892754014139,16.485114028153813,16.485114028153813,15.645378497163458,7.471143247576213,5.777858465291895,5.777858465291895,5.777858465291895,4.197187457747118,1.0046219297953367
Multiboson,4593.859139715373,25.358168152505655,23.55857250878902,23.55857250878902,21.93587069832114,10.706437393839462,9.76972992293613,9.455737050888935,9.235576625176307,6.111934100069396,2.351804738707591
WJets,177451.7502507543,804.6498267925641,757.7968214301768,753.5979084248546,710.0527651123274,390.3800652567569,368.9429104907673,366.34090393884384,363.71948333093854,225.67321911672244,88.52405346361876
TTX,423.5654849394884,6.984428069434555,7.022235575351336,6.859027279987133,6.4656965657689645,1.6470293278348764,1.4764198050870472,1.4696953924567446,1.453738482978489,-0.15414221974761264,0.12564249440370037
SingleTop,3665.006769733427,28.66735731445833,26.32392945427956,26.226619126828602,24.758034402202945,9.880544879949955,9.22333410251655,9.22333410251655,9.149362437618452,5.284457828137439,2.298494529333479
ZJets,51827.177158302235,241.43092324770822,227.1393895298918,225.68684699941545,214.50063498620455,125.4494178255699,117.32722675381481,116.37137672334396,115.23256667420551,77.73999577006633,35.376565985150464
TTbar,22073.225668851308,298.2749504938245,276.2011159267405,274.61984828964455,262.5260871658279,93.85287053814514,88.06279833221161,86.79801980020218,86.24538846996947,54.20543421956645,21.012895629126824
QCD,53319.9892353793,655.39420950891,301.96144839237917,301.7255235826266,286.92462102841233,72.78874763590538,72.78874763590538,72.78874763590538,71.46766082945801,0.0,0.0
Total,319751.2334107831,2126.8245032225864,1682.5586116346171,1674.4639578938877,1586.0990726540804,734.4659799174973,694.6363156202318,689.4822658859853,683.4072442395787,386.37444982138845,155.875364274088
