,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
ZGamma,0.00032470326374004914,2.5705017425003593e-06,1.3870900134560884e-06,1.2179652414871242e-06,1.2179652414871242e-06,1.2179652414871242e-06,8.210919152384216e-07,1.95888566721974e-07
QCD,2.482419777063774e-06,3.320952902523708e-08,2.1139106333451618e-08,2.1139106333451618e-08,2.1139106333451618e-08,2.0796017174050906e-08,0.0,0.0
TTbar,0.0004436469930565506,6.219401685879979e-06,2.162456343422513e-06,2.0137604101915237e-06,1.980201883106355e-06,1.9681689173242318e-06,1.224843927519861e-06,4.5562039201793793e-07
DY-M4to50,2.6456099600495896e-05,3.163961988810808e-07,1.657079338404264e-07,1.6351875070881815e-07,1.6351875070881815e-07,1.6141994367788362e-07,7.863297517385032e-08,1.5797944013218276e-08
DY-M50,0.0003939941770486602,4.116108799175145e-06,2.0900744424548808e-06,1.966957655009106e-06,1.965989755595254e-06,1.9568467802678686e-06,1.2161732398018246e-06,4.982163248165822e-07
TTX,0.00136440404821353,1.8327263109264874e-05,5.511582131998336e-06,5.421460490059086e-06,5.38518905017177e-06,5.314297925065825e-06,7.033589464519585e-08,1.7652311933591e-06
Multiboson,0.0006591377388398073,3.993201365100082e-06,1.9779129184443575e-06,1.8196922585998283e-06,1.7448533806734004e-06,1.7132642437902828e-06,1.0665600011943049e-06,2.923900505261646e-07
SingleTop,0.0002356410344861886,1.9638106394948145e-06,6.742787803786699e-07,6.139550664060103e-07,6.139550664060103e-07,6.091990698323611e-07,3.387274962724806e-07,1.3209088099354617e-07
ZJets,0.0024216620193762486,1.4592317192523525e-05,8.51149815503426e-06,7.985041943702533e-06,7.887260738299186e-06,7.820126237921973e-06,5.313047079624226e-06,1.8267814417037969e-06
WJets,0.0010132927439486308,5.194984131288226e-06,2.7933884064359898e-06,2.6529097877979606e-06,2.6320523395899536e-06,2.6081557586309422e-06,1.631311187377057e-06,5.363535655416298e-07
Total,1.4681914291403448e-05,1.0891705023623542e-07,5.930341594644083e-08,5.711803392824512e-08,5.675260515536972e-08,5.610808901743905e-08,2.258300557954467e-08,7.671272952719477e-09
