,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
ZGamma,6511,70,37,33,33,33,19,3
QCD,31603,167,45,45,45,38,0,0
TTbar,519733,7192,2485,2308,2266,2251,1391,520
DY-M4to50,25923,343,177,175,175,169,78,26
DY-M50,272468,3265,1297,1273,1272,1239,606,248
TTX,141391,1937,580,550,534,516,329,128
Multiboson,24553,165,87,82,80,78,49,18
SingleTop,46314,324,112,98,98,96,50,16
ZJets,729756,5715,3257,3135,3126,3075,1771,609
WJets,1171204,6465,2920,2841,2833,2742,1324,491
Total,2969456,25643,10997,10540,10462,10237,5617,2059
