,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
ZGamma,1665.2529797328907,13.182915492756553,7.1137436423020075,6.246380847040933,6.246380847040933,6.246380847040933,4.211000969734696,1.0046219297953367
QCD,53319.9892353793,713.308742742975,454.04767258113174,454.04767258113174,454.04767258113174,446.6784474182308,0.0,0.0
TTbar,22073.22566885131,309.4402961955026,107.59091713559712,100.19269525735326,98.52302330406951,97.92433476716667,60.94092114768782,22.66895051638613
DY-M4to50,376.9379586129626,4.507910807717856,2.3609530978108126,2.329762323920512,2.329762323920512,2.2998591995102844,1.1203372223900812,0.22508400166866444
DY-M50,4354.468764761891,45.49170582324649,23.099742092312358,21.73904125818748,21.728343923022226,21.62729471265491,13.441285921853263,5.506343877362259
TTX,423.5654849394884,5.689514111786401,1.7110151216425749,1.6830377662385638,1.6717776633053893,1.6497702280278985,0.02183506957711892,0.5479982322131347
Multiboson,4593.859139715374,27.830608849794864,13.785060090702812,12.682341521442988,12.160752112871863,11.940591687159236,7.433387774405786,2.0378118666603973
SingleTop,3665.006769733427,30.543828259440435,10.487291825737882,9.54905617180207,9.54905617180207,9.475084506903972,5.268346277805272,2.054455303665602
ZJets,51827.177158302235,312.2973405189929,182.1587485098953,170.89180080519216,168.79913724824502,167.362358863547,113.70712760198059,39.09584601449361
WJets,177451.7502507543,909.7657435398786,489.18899776248765,464.58783793084257,460.9352008105446,456.75033899098696,285.6815339224122,93.92831393197055
Total,319751.23341078317,2372.058606342092,1291.5441418596204,1243.9496264631523,1235.9911069859538,1221.9544612212287,491.82577590784683,167.06942567421567
