,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
QCD,2.4824197770637746e-06,3.3209529025237085e-08,2.1139106333451625e-08,2.1139106333451625e-08,2.1139106333451625e-08,2.0796017174050916e-08,0.0,0.0
WJets,0.001013292743948631,5.194984131288227e-06,2.7933884064359898e-06,2.6529097877979606e-06,2.6320523395899536e-06,2.6081557586309422e-06,1.6313111873770567e-06,5.363535655416298e-07
TTX,0.0013644040482135298,1.8327263109264874e-05,5.5115821319983354e-06,5.421460490059086e-06,5.38518905017177e-06,5.314297925065825e-06,7.033589464519581e-08,1.7652311933590996e-06
SingleTop,0.00023564103448618862,1.963810639494815e-06,6.742787803786699e-07,6.139550664060103e-07,6.139550664060103e-07,6.09199069832361e-07,3.3872749627248064e-07,1.3209088099354617e-07
ZJets,0.0024216620193762478,1.459231719252353e-05,8.511498155034259e-06,7.985041943702533e-06,7.887260738299184e-06,7.820126237921973e-06,5.313047079624224e-06,1.8267814417037966e-06
TTbar,0.00044364699305655074,6.219401685879979e-06,2.162456343422514e-06,2.013760410191524e-06,1.9802018831063563e-06,1.968168917324232e-06,1.2248439275198613e-06,4.556203920179381e-07
ZGamma,0.0003247032637400491,2.57050174250036e-06,1.3870900134560886e-06,1.2179652414871242e-06,1.2179652414871242e-06,1.2179652414871242e-06,8.210919152384217e-07,1.9588856672197393e-07
Multiboson,0.0006591377388398072,3.993201365100083e-06,1.9779129184443575e-06,1.8196922585998283e-06,1.7448533806734006e-06,1.713264243790283e-06,1.0665600011943049e-06,2.923900505261646e-07
DY-M50,0.00039399417704866023,4.116108799175147e-06,2.0900744424548804e-06,1.9669576550091054e-06,1.965989755595254e-06,1.956846780267868e-06,1.2161732398018244e-06,4.982163248165822e-07
DY-M4to50,2.6456099600495886e-05,3.1639619888108073e-07,1.657079338404264e-07,1.6351875070881815e-07,1.6351875070881815e-07,1.614199436778836e-07,7.863297517385031e-08,1.5797944013218276e-08
Total,1.4681914291403451e-05,1.0891705023623543e-07,5.930341594644082e-08,5.711803392824512e-08,5.675260515536975e-08,5.6108089017439066e-08,2.258300557954467e-08,7.671272952719479e-09
