,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
QCD,12013.261823381463,160.71204833988475,102.29922491047395,102.29922491047395,102.29922491047395,100.63890140728319,0.0,0.0
WJets,39980.7720772216,204.97479897906678,110.21674226706223,104.67397719050237,103.85101967117066,102.90814924951536,64.3654868339314,21.162521674794636
TTX,95.43143468133552,1.281876152881175,0.38550031488788084,0.37919687596349394,0.3766599181239621,0.37170153223827634,0.004919551026233711,0.12346675865340223
SingleTop,825.744463580254,6.8816781704371905,2.3628396090748227,2.1514503960536837,2.1514503960536837,2.1347842078065438,1.1869849210231502,0.46287911571807305
ZJets,11676.923752196457,70.36216196215989,41.04128246554218,38.5027824645494,38.03129483714429,37.707581438753365,25.618787900295807,8.808490795175896
TTbar,4973.208791845491,69.71845550251335,24.240774912048295,22.57391830301056,22.197732811948146,22.06284527262923,13.730296123530533,5.107428597039696
ZGamma,375.1898740899108,2.9701771827236905,1.6027622312925136,1.4073410298865414,1.4073410298865414,1.4073410298865414,0.9487597036941955,0.2263463749563954
Multiboson,1035.0195755200273,6.270376187451694,3.1058433899828497,2.8573953486386676,2.7398786308125143,2.690275379289763,1.6747796623598528,0.4591292656289847
DY-M50,981.083719688957,10.249510187152982,5.204488106374235,4.897915362867578,4.895505199437399,4.872738303971053,3.0283893402403805,1.2406069775504471
DY-M4to50,84.92601842057053,1.0156549839217233,0.5319346107051606,0.5249071724293582,0.5249071724293582,0.5181698480594791,0.25241761253248024,0.050712557955767956
Total,72041.56153062607,534.4367376481932,290.99139281744414,280.26810905437566,278.4750145774805,275.3124876694328,110.81082164863403,37.641582117473305
