,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.014484031485781673,0.001842350910399229,0.001842350910399229,0.0015194701863732042,0.001420985585840928,0.0014175835335496002,0.0014175835335496002,0.0014040059302211064,0.0005269527034935683,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.014781603920295639,0.002143223294105311,0.002143223294105311,0.0018939436407035385,0.0018108637520800094,0.0018108637520800094,0.0018108637520800094,0.001794258649468925,0.0003780288762908184,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.015927916875933482,0.002349445566224159,0.002349445566224159,0.0020240151214556776,0.001881752015915911,0.0018795858514896004,0.0018795858514896004,0.0018666838964064777,0.0006274922349999317,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.01472873067695271,0.0021882400988289708,0.0021882400988289708,0.001888642140741992,0.0018052358517674436,0.0018052358517674436,0.0018052358517674436,0.0017939893910559437,0.0007685876497316977,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.01692016381262599,0.0029316283012618973,0.0029316283012618973,0.0025310973078968026,0.0023857493529328274,0.0023857493529328274,0.0023857493529328274,0.0023571335799973327,0.0012202990829957303,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.018942328318553654,0.002825650588520862,0.002825650588520862,0.0023808632547259686,0.0022750731314669505,0.0022728692879824793,0.0022728692879824793,0.002253088072899184,0.0008764588565313573,20.0,0.1,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.023214477724021475,0.0034809591168351393,0.0034809591168351393,0.0029799926403035327,0.00288065208357541,0.00288065208357541,0.00288065208357541,0.0028552545950911996,0.001253508146337644,30.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.020878136792662157,0.0038481200171779023,0.0038481200171779023,0.003369484049724742,0.003242465202443474,0.0032349939319605,0.0032349939319605,0.003195139486744614,0.0017944377993929237,30.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.030555449286320823,0.0050511239632587785,0.0050511239632587785,0.0043375542937557415,0.004132889794124165,0.004126882010286719,0.004126882010286719,0.004102811358855953,0.001923616199085606,40.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.026903905754649463,0.005098776359163422,0.005098776359163422,0.0043062538727560665,0.004164750242502612,0.004161454443181586,0.004161454443181586,0.004135186538864762,0.002289756578282419,40.0,0.2,1.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,0.02987478818535881,0.007026630672955627,0.007026630672955627,0.0058076366951356085,0.005630637876967234,0.005630637876967234,0.005630637876967234,0.005522924478297406,0.003511366756624766,50.0,0.4,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.03631795936761357,0.006258949854813817,0.006258949854813817,0.005421136989751873,0.005217323884975387,0.005217323884975387,0.005217323884975387,0.005197399383978217,0.002471952152071182,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.03382568049132571,0.0069822002641035524,0.0069822002641035524,0.005961261927036523,0.0056953393975820886,0.0056953393975820886,0.0056953393975820886,0.00565067104368041,0.003560116717913925,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.04355919441245334,0.007790882796604691,0.007790882796604691,0.006622136169792857,0.006350710254549145,0.006350710254549145,0.006350710254549145,0.0062790300060349665,0.003024415890430756,60.0,0.1,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.05142822732540746,0.009301123212458727,0.009301123212458727,0.007902301127778578,0.007671671233792038,0.007671671233792038,0.007671671233792038,0.007580900749125293,0.003773340006911318,70.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.04904132917703754,0.011230409708275371,0.011230409708275371,0.009552091671465063,0.009200767052636033,0.009200767052636033,0.009200767052636033,0.009075995983235358,0.005442038167461293,70.0,0.2,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.05811169173256592,0.011194541768942632,0.011194541768942632,0.009729171970683436,0.009419706862778899,0.009419706862778899,0.009419706862778899,0.009342278676008809,0.004623341523934944,80.0,0.1,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.06610952342429349,0.013011473033904224,0.013011473033904224,0.011131371790693127,0.010743962764262788,0.0107426108791747,0.0107426108791747,0.010641397634050778,0.005405116598087863,90.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.06504095855724276,0.015342896556520082,0.015342896556520082,0.012976281706385677,0.012527193110210201,0.012527193110210201,0.012527193110210201,0.012352895778279886,0.007244085374502642,90.0,0.2,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.07061817702991251,0.017181334969668192,0.017181334969668192,0.014596494968280535,0.014041332341572553,0.014037457033601116,0.014037457033601116,0.013793146501132992,0.007878764145523708,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.07373984261021665,0.014937037313873787,0.014937037313873787,0.012755078242114758,0.012360539758001304,0.012356787840962712,0.012356787840962712,0.012238220423725238,0.006315538161396708,100.0,0.1,1.0
