,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5002,479,479,397,371,371,371,361,80,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,3168,344,344,286,271,270,270,254,77,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,7999,888,888,759,718,718,718,698,216,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,7044,789,789,643,606,606,606,585,225,10.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,6515,796,796,694,668,668,668,660,231,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,8280,1012,1012,881,828,828,828,810,372,20.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,10374,1421,1421,1223,1187,1186,1186,1175,471,30.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,7762,1025,1025,885,853,852,852,834,428,30.0,0.2,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,9065,1398,1398,1184,1134,1134,1134,1111,525,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,10341,1407,1407,1208,1160,1160,1160,1149,491,40.0,0.1,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,13492,1898,1898,1623,1560,1560,1560,1542,643,50.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,3609,609,609,529,502,502,502,494,251,50.0,0.2,10.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,7429,1311,1311,1104,1072,1072,1072,1014,374,50.0,0.4,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,11566,1683,1683,1445,1382,1381,1381,1364,514,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,10806,1670,1670,1437,1392,1392,1392,1370,559,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,10438,1868,1868,1588,1531,1530,1530,1494,551,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9944,1589,1589,1360,1311,1311,1311,1300,486,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,7516,1436,1436,1195,1163,1163,1163,1132,422,80.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,32183,5166,5166,4371,4224,4224,4224,4163,1571,90.0,0.1,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,31933,6128,6128,5202,5027,5025,5025,4904,1397,90.0,0.2,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,17941,3557,3557,3027,2937,2936,2936,2858,711,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,48028,8103,8103,6968,6762,6761,6761,6669,2316,100.0,0.1,10.0
