,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,114.19218879098986,29.310581931834893,21.092311518144605
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.09180370939761294,29.310581931834893,0.016956960521002432
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,97.39140750526647,29.310581931834893,17.989057991099045
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,5.144949740455965,29.310581931834893,0.9503179142097059
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,2208.5951988568813,29.310581931834893,407.9471498443117
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,2.0410614138422822,29.310581931834893,0.37700217172667877
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,96.98666302553862,29.310581931834893,17.914298090776136
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.06896896008072773,29.310581931834893,0.0127391795052445
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,1.9310156224214645,29.310581931834893,0.35667573663086777
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,3.7843813668303827,29.310581931834893,0.6990088511110706
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,1807.756594041197,29.310581931834893,333.90869930943614
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,80.22819773277587,29.310581931834893,14.818860703478618
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,107.90535579007782,29.310581931834893,19.93107762358726
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,4.223109442289398,29.310581931834893,0.780045823405867
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,2.0847042291532154,29.310581931834893,0.38506338734758194
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,1567.983394502455,29.310581931834893,289.62045970287176
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,71.65143699247812,29.310581931834893,13.234656816450345
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.10236772473163959,29.310581931834893,0.018908227982173363
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1807.8675382420186,29.310581931834893,333.9291916887279
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1237.5038597369244,29.310581931834893,228.57795433147047
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,23.6162105155049,29.310581931834893,4.362123840036378
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,857.9306344412207,29.310581931834893,158.4674082718124
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,4184.553082120189,29.310581931834893,772.9241212272422
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,317.77608261218916,29.310581931834893,58.69606492734824
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,74.49487772761346,29.310581931834893,13.759865575506803
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.06940911965236712,29.310581931834893,0.01282048088759828
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,2.7392212417706667,29.310581931834893,0.505958492960462
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,1.924852104946814,29.310581931834893,0.3555372802092923
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,40.517760725143226,29.310581931834893,7.483990282352809
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,1013.0308632406594,29.310581931834893,187.11579812237446
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,50.0,0.4,10.0,0.027488363850726536,29.310581931834893,0.005077344953294885
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,18.627222069786374,29.310581931834893,3.4406133622039206
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,50.0,0.4,100.0,0.00077651180109148,29.310581931834893,0.00014342862659472332
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.031687589234255804,29.310581931834893,0.00585297917891092
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,50.0,0.4,1.0,0.29809521009673134,29.310581931834893,0.05506083296936618
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,426.89434758300285,29.310581931834893,78.85117764960695
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,1.3188416220624444,29.310581931834893,0.24360176147031778
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.8312633363660168,29.310581931834893,0.1535417214599155
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,29.83763994511351,29.310581931834893,5.511277114063222
65,60.0,0.2,1.0,0.0,29.310581931834893,0.0
66,60.0,0.2,10.0,0.0,29.310581931834893,0.0
67,60.0,0.2,100.0,0.0,29.310581931834893,0.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,17.342528118704447,29.310581931834893,3.2033189788613528
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,253.15632044147327,29.310581931834893,46.76022090540845
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,0.4897716089469806,29.310581931834893,0.09046516629575031
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.012111781590092022,29.310581931834893,0.0022371536358370145
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,0.3531315558028465,29.310581931834893,0.06522653485094072
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,5.6189365807388825,29.310581931834893,1.0378674935337968
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,13.857551707879804,29.310581931834893,2.55961288242213
