,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vertex chi2/df < 3,"dPhi(MET,vtx) < 1",m(ee) < 20,dR(ee) < 1.0,minDxy > 0.01,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.007414270155088269,0.0006469798413140683,0.0006469798413140683,0.0005618097737911945,0.0005277838890454348,0.0005277838890454348,0.0005277838890454348,0.0005005017925611027,0.0001395989354646195,9.874526569012626e-05,8.852591738990822e-05,5.785272050301251e-05,4.761928537274435e-05,5.0,0.2,100.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.007306084347248066,0.0005959121646433841,0.0005959121646433841,0.0005040260124318779,0.0004745653244843689,0.0004745653244843689,0.0004745653244843689,0.0004567273411086268,0.00012069182210026732,7.544506017825572e-05,7.407405503843884e-05,4.388784420500414e-05,3.1545456175103765e-05,5.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.00797709862657122,0.000600834907315777,0.000600834907315777,0.0005065851040890407,0.0004833614009871116,0.0004833614009871116,0.0004833614009871116,0.0004669751070511105,0.00016933253146133456,0.00012430707126473797,0.00011611344149061813,7.649642099008467e-05,6.831581787163631e-05,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.008038948093792015,0.0006468518961049534,0.0006468518961049534,0.0005454041665682605,0.0005148335380257535,0.0005148335380257535,0.0005148335380257535,0.0005044321772342362,0.0001631447262946603,0.00010463347368872813,0.00010268312542040023,6.75998907335109e-05,5.7197807331426756e-05,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.010335342307593722,0.0009224185738316615,0.0009224185738316615,0.0007932188284407307,0.0007600843818875071,0.0007600843818875071,0.0007600843818875071,0.0007220023329761535,0.0002648929876076415,0.00021028298584797807,0.00020697968076282698,0.00015567171437469747,0.00013745543239904236,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.01064869843766006,0.0009278374983264792,0.0009278374983264792,0.0008175345078862508,0.0007746338154679585,0.0007746338154679585,0.0007746338154679585,0.0007486698740583597,0.00022747971214328222,0.00017023704933974911,0.0001663439249624065,0.00011312202554990616,9.619081795173809e-05,20.0,0.1,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.013535937524539444,0.00119684470196682,0.00119684470196682,0.0010406028817813934,0.0009954315940102817,0.0009954315940102817,0.0009954315940102817,0.0009663249508229548,0.0003199492037604898,0.000240843546240819,0.00023426730762875683,0.00017500549683539332,0.00015333095648371365,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.01358496758660357,0.0012851788070686538,0.0012851788070686538,0.001082445996706749,0.0010516805397370382,0.0010516805397370382,0.0010516805397370382,0.001010657983771499,0.0003541316211525963,0.00030029241617887377,0.00029513239547406407,0.00023866875140160425,0.00021812634693521059,30.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.017664331272528238,0.0016571303115037912,0.0016571303115037912,0.0014187219168184462,0.0013708536279668326,0.0013708536279668326,0.0013708536279668326,0.0013305906921801504,0.0004671020842947437,0.00037561433340150397,0.0003712545820738508,0.0002950485907610638,0.0002656359437450988,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.01757580834755236,0.001801558110553257,0.001801558110553257,0.0014758222138611524,0.001411009908637466,0.001411009908637466,0.001411009908637466,0.0013644895499112667,0.0005233911691052711,0.00043371141802119674,0.00042040361871883443,0.0003207105230359268,0.000287499767774657,40.0,0.2,100.0
