,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,443.65770975584616,36.18641855413497,36.18641855413497,30.606685565726618,28.81770247691973,28.81770247691973,28.81770247691973,27.73450134276837,2.790471764737464,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,14.287466646478146,1.2467448191612902,1.2467448191612902,1.0826201685136143,1.0170515173513257,1.0170515173513257,1.0170515173513257,0.9644782990287659,0.11811259603846457,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,238.68778001545107,19.20595098745653,19.20595098745653,16.193823894681746,15.286138538916994,15.286138538916994,15.286138538916994,14.977307372512989,2.336019768067074,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,7.5990383828599635,0.5723594174010097,0.5723594174010097,0.4825764141031284,0.4604533566451365,0.4604533566451365,0.4604533566451365,0.44484366164177663,0.08196617172856555,10.0,0.2,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,6.142378087894154,0.5482008691291519,0.5482008691291519,0.4714164084473149,0.45172433706681653,0.45172433706681653,0.45172433706681653,0.42909186531952404,0.11515656473231844,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,200.84570710318246,17.499995846363596,17.499995846363596,15.419564867849443,14.610412467261657,14.610412467261657,14.610412467261657,14.120705091085611,2.5997244193251996,20.0,0.1,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,24707.114125418568,2184.5977486441543,2184.5977486441543,1899.4099309930966,1816.958888342399,1816.958888342399,1816.958888342399,1763.8306027150913,383.02166654010864,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,1302.773429218097,123.24628608568146,123.24628608568146,103.80458209290563,100.85423130094526,100.85423130094526,100.85423130094526,96.92024356267356,26.571413103295182,30.0,0.2,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,3.3521160259365645,0.3435990934028691,0.3435990934028691,0.2814736708941239,0.26911245468591083,0.26911245468591083,0.26911245468591083,0.2602399387290486,0.08143917187667982,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,108.8250664067727,10.209122180274019,10.209122180274019,8.740353904629506,8.445450597355318,8.445450597355318,8.445450597355318,8.197401769855595,2.159592459242971,40.0,0.1,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,43.75727543932692,4.3352747241577445,4.3352747241577445,3.7015981622764897,3.588904418918596,3.588904418918596,3.588904418918596,3.504454000956064,0.972162481035216,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,1.3674891993564606,0.1474531940996997,0.1474531940996997,0.12574878694369176,0.12066263338031533,0.12066263338031533,0.12066263338031533,0.11538526379764552,0.038342863437623956,50.0,0.2,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,0.039956080246834585,0.004411136570516353,0.004411136570516353,0.003744658034563025,0.0036493797247965335,0.0036493797247965335,0.0036493797247965335,0.0033486296924559603,0.0013553091109127435,50.0,0.4,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,27.168568215224624,2.6216826137102993,2.6216826137102993,2.210276098167319,2.0981243177148237,2.0981243177148237,2.0981243177148237,2.040346831723531,0.6155365745701636,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,19.49406129785201,2.060158994741547,2.060158994741547,1.743678443177397,1.6855703210963109,1.6855703210963109,1.6855703210963109,1.6296038801828059,0.48661089474778185,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.6050470278809819,0.06691155914098651,0.06691155914098651,0.05602765038053584,0.053341598862450615,0.053341598862450615,0.053341598862450615,0.05103971814346808,0.019010959379143932,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,13.976451608268011,1.552183329965851,1.552183329965851,1.3088562326366608,1.2680625639656797,1.266491541638279,1.266491541638279,1.2272779974925019,0.42373125418121976,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.45146155023897216,0.05280280727242429,0.05280280727242429,0.0452218708960277,0.043560265198209124,0.043517804638418506,0.043517804638418506,0.04138904686296428,0.017118299295855784,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,10.547555290032232,1.1586638979159516,1.1586638979159516,0.9828286873175226,0.9581126094970017,0.9581126094970017,0.9581126094970017,0.9313416279562123,0.32046219329792125,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.34059775144836624,0.041053592427145465,0.041053592427145465,0.03462275540725071,0.03340730389375054,0.0333925874643183,0.0333925874643183,0.03182485829197254,0.013193391641211222,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.26384499304037673,0.03339546337491274,0.03339546337491274,0.02815979747751723,0.026887925944012004,0.02686716166381564,0.02686716166381564,0.02565808655548192,0.011681462713982179,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,8.07756262661406,0.9310010936688363,0.9310010936688363,0.7814462001519668,0.7591380398451817,0.7589133810085218,0.7589133810085218,0.7390968672886024,0.26942270750247926,100.0,0.1,100.0
