,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,128.38088481029865,322.387916156102,7.150081415805508
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,3032.71691720183,322.387916156102,168.9049962626857
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,84.92281975318284,322.387916156102,4.7297156129767055
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,2036.9709399195583,322.387916156102,113.447637345512
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,1680.8537743274999,322.387916156102,93.61394690700484
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,75.57861590335798,322.387916156102,4.209296873139735
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,4493.072135403616,322.387916156102,250.23843403707284
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1939.033008741623,322.387916156102,107.99305442491183
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,45.410210457229354,322.387916156102,2.5290891424983104
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,1097.6365384848586,322.387916156102,61.132080735590144
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,462.3801549363638,322.387916156102,25.751931510153888
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,22.407581853158053,322.387916156102,1.2479742199794661
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,50.0,0.4,1.0,0.6904398233073653,322.387916156102,0.038453551372984555
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,301.71032011702243,322.387916156102,16.80354015329546
21,60.0,0.2,1.0,0.0,322.387916156102,0.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,10.427374787069203,322.387916156102,0.5807451692736857
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,218.28127438379877,322.387916156102,12.15701921431797
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,173.8801267618391,322.387916156102,9.684129103603112
22,80.0,0.2,1.0,0.0,322.387916156102,0.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,5.960993288591268,322.387916156102,0.3319932511407548
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,137.48269760627076,322.387916156102,7.657000359531314
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,4.521789701489758,322.387916156102,0.25183783830884665
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,112.15752121150295,322.387916156102,6.2465328015315915
