,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,130.31774236741325,336.01336557870206,7.109274303177233
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.11811259603846457,336.01336557870206,0.006443442225467682
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,2.790471764737464,336.01336557870206,0.15222968761121164
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,6.081017513893777,336.01336557870206,0.3317401050948997
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,131.4980757883426,336.01336557870206,7.173665489719862
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,3050.302776982378,336.01336557870206,166.40434951805574
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.08196617172856555,336.01336557870206,0.004471532331774157
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,84.92281975318284,336.01336557870206,4.6328274972911405
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,4.05356249024996,336.01336557870206,0.2211355654628287
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,116.7515022761092,336.01336557870206,6.369189949966726
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,2.336019768067074,336.01336557870206,0.12743779171688652
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,2042.3071456207913,336.01336557870206,111.41477319812579
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,2.5997244193251996,336.01336557870206,0.1418237737540224
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,1687.9380930962595,336.01336557870206,92.08274094229472
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.11515656473231844,336.01336557870206,0.006282180704032462
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,75.85935253811974,336.01336557870206,4.1383846578190395
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,111.6506727337131,336.01336557870206,6.090922419146518
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,4.631597583687941,336.01336557870206,0.2526693379289551
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,383.02166654010864,336.01336557870206,20.895129412360184
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1308.3628151967052,336.01336557870206,71.37562370506858
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1945.794981561252,336.01336557870206,106.1497077095137
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,26.571413103295182,336.01336557870206,1.4495605966052996
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,4516.811356844923,336.01336557870206,246.40736041131967
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,896.0312356186288,336.01336557870206,48.881539247878756
