,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,3558,516,516,456,436,436,436,432,142,5.0,0.1,1.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,4261,542,542,447,418,417,417,413,193,5.0,0.2,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,6536,971,971,838,801,801,801,796,373,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,7390,1090,1090,939,873,872,872,866,337,10.0,0.1,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,8600,1283,1283,1081,1033,1032,1032,1023,432,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,7098,1230,1230,1062,1001,1001,1001,989,503,20.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,10056,1508,1508,1291,1248,1248,1248,1237,517,30.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,8377,1544,1544,1352,1301,1298,1298,1282,713,30.0,0.2,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,8179,1550,1550,1309,1266,1265,1265,1257,680,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,10151,1678,1678,1441,1373,1371,1371,1363,632,40.0,0.1,1.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,7768,1827,1827,1510,1464,1464,1464,1436,872,50.0,0.4,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,14604,2517,2517,2180,2098,2098,2098,2090,934,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,761,157,157,134,128,128,128,127,77,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,11551,2066,2066,1756,1684,1684,1684,1665,765,60.0,0.1,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,13602,2460,2460,2090,2029,2029,2029,2005,937,70.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,10607,2429,2429,2066,1990,1990,1990,1963,1117,70.0,0.2,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12770,2460,2460,2138,2070,2070,2070,2053,958,80.0,0.1,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,48974,9639,9639,8246,7959,7958,7958,7883,3814,90.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,31711,7481,7481,6327,6108,6108,6108,6023,3325,90.0,0.2,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,18196,4427,4427,3761,3618,3617,3617,3554,1871,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,59043,11960,11960,10213,9897,9894,9894,9799,4791,100.0,0.1,1.0
