,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,6090.241351750135,583.268175071835,583.268175071835,483.38398381009836,451.72932611280794,451.72932611280794,451.72932611280794,439.55093590266637,102.29219749205566,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,211.62113647383234,22.976275785751053,22.976275785751053,19.10167299555544,18.099530477658128,18.033157433278582,18.033157433278582,16.965408178127703,5.5469569956057,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3591.8943767574788,398.7240181038894,398.7240181038894,340.802749889091,322.4067768402069,322.4067768402069,322.4067768402069,313.43312241580736,101.93250569425153,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,118.47951794817327,13.269841814060843,13.269841814060843,10.814831211421861,10.19279049378693,10.19279049378693,10.19279049378693,9.839572831386517,3.834991029227189,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,93.99863616319665,11.48925373962898,11.48925373962898,10.00155388917358,9.400078867913226,9.400078867913226,9.400078867913226,9.195836537926933,4.302532207378379,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3043.716823127073,371.80309684077747,371.80309684077747,324.15743489385693,312.0031117899879,312.0031117899879,312.0031117899879,308.2645498442762,108.37686167244728,20.0,0.1,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,27263.502227424033,3734.6737874719056,3734.6737874719056,3214.536713320757,3119.890210523919,3117.2597839336518,3117.2597839336518,3088.3265199334787,1261.143986619916,30.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,15555.452100966933,2054.322570281654,2054.322570281654,1773.8382301095273,1709.6957769759263,1707.69042542541,1707.69042542541,1671.5850906866592,873.984293097727,30.0,0.2,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,47.30464044851869,7.295161187864845,7.295161187864845,6.178193912016902,5.917338233925936,5.917338233925936,5.917338233925936,5.797324460945901,2.9376562878895776,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,1569.1334246904726,213.4839941336165,213.4839941336165,183.28939490532812,176.00991318357336,176.00991318357336,176.00991318357336,174.34102630372837,77.83271059223613,40.0,0.1,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,625.9503690668715,88.05768427796862,88.05768427796862,75.29919385115824,72.37877121969308,72.37877121969308,72.37877121969308,71.54277022129996,31.277574125603806,50.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,18.964344684698002,3.200084996291692,3.200084996291692,2.779585889917215,2.637743880868244,2.637743880868244,2.637743880868244,2.5958387707739274,1.439593902275957,50.0,0.2,10.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,0.5458897226634378,0.09633559179621719,0.09633559179621719,0.08112904952297055,0.07877671662478004,0.07877671662478004,0.07877671662478004,0.07451816189627558,0.04476003564553679,50.0,0.4,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,390.28995428199505,56.78873296225574,56.78873296225574,48.75844394434109,46.6321520892116,46.598375756409666,46.598375756409666,46.02442765300403,20.01017629516934,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,267.87011033356424,41.397716635542025,41.397716635542025,35.62135699685069,34.50553869999271,34.50553869999271,34.50553869999271,33.959963321997144,16.28675159010682,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,8.447246073825017,1.511806717798229,1.511806717798229,1.2852170053936738,1.2390935672370278,1.238288365251986,1.238288365251986,1.2091622759893015,0.6701599203571639,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,197.3658539970645,31.538758481271156,31.538758481271156,26.99230445796463,26.02028111408325,26.02028111408325,26.02028111408325,25.80257805080571,11.910683268436832,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,6.149201740065665,1.1747795113244697,1.1747795113244697,0.9776050279082428,0.9514187628920681,0.9514187628920681,0.9514187628920681,0.9260497725254329,0.5562922486038482,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,4.777229077720692,0.9167786405904442,0.9167786405904442,0.778259107315364,0.75207736013143,0.751777815991863,0.751777815991863,0.7336807706426178,0.41727135969655593,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,147.91217940348855,23.741970855615648,23.741970855615648,20.088249796174157,19.412917388897167,19.412917388897167,19.412917388897167,19.132489223099387,9.49959499185906,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,3.7155667598496738,0.736643867519767,0.736643867519767,0.6269003673374488,0.6082544971011983,0.6080477286075864,0.6080477286075864,0.5918925692582494,0.339238459286675,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,114.11432277945423,19.252796625826612,19.252796625826612,16.555769325789484,16.066343285395757,16.063978480659156,16.063978480659156,15.845379741393648,7.926314410278892,100.0,0.1,10.0
