,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,90.10503790118086,42.549044947393966,13.813513787017119
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.09840329182271684,42.549044947393966,0.01508567400828044
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,125.16835925884139,42.549044947393966,19.18888107251612
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,1.7495928736119084,42.549044947393966,0.26822057727571597
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,5.146518658070625,42.549044947393966,0.7889848125513939
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,2507.1717552327773,42.549044947393966,384.36087941398
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,80.65821606521693,42.549044947393966,12.36527285938224
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.06374152453026118,42.549044947393966,0.009771866794727949
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,3.58258257342347,42.549044947393966,0.5492262688506545
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,1.6992312220230414,42.549044947393966,0.26049990610389184
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,95.64388075530834,42.549044947393966,14.6626436904252
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,1791.7474882739725,42.549044947393966,274.683072208124
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,1511.4894609891562,42.549044947393966,231.71823678941215
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.10237619782445354,42.549044947393966,0.015694738641155906
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,1.9372559867489687,42.549044947393966,0.2969901895084562
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,104.64414995900744,42.549044947393966,16.042426060291266
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,71.23036583811356,42.549044947393966,10.919940366022084
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,4.291216578319469,42.549044947393966,0.6578630978736381
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,4261.336245001517,42.549044947393966,653.2823063234379
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,324.7031558707881,42.549044947393966,49.77847659559465
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1761.090575368276,42.549044947393966,269.9832274607675
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,867.9107089087189,42.549044947393966,133.0546751066099
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,23.36745242887064,42.549044947393966,3.5823371679580744
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1255.823422441513,42.549044947393966,192.52346554673076
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.07162063378454872,42.549044947393966,0.010979770224421627
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,2.9219448699568895,42.549044947393966,0.44794749201836215
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,76.01149341368796,42.549044947393966,11.652909057019318
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,1009.8452901952181,42.549044947393966,154.8138945811723
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,42.6504787380048,42.549044947393966,6.538513159679706
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,1.9382709925030739,42.549044947393966,0.2971457945257207
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,50.0,0.4,100.0,0.0012309344585602767,42.549044947393966,0.0001887078737249385
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,50.0,0.4,10.0,0.04395236767602465,42.549044947393966,0.0067380986791289645
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,50.0,0.4,1.0,0.637837770548508,42.549044947393966,0.09778344299699371
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,20.790923242503247,42.549044947393966,3.187343477621127
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.8791451304151041,42.549044947393966,0.1347769632270345
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,30.95374302200517,42.549044947393966,4.745350159701223
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.03618903816759746,42.549044947393966,0.0055479448131994505
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,1.4501709715418238,42.549044947393966,0.22231783233801256
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,421.93901576239244,42.549044947393966,64.68517795760071
65,60.0,0.2,1.0,0.0,42.549044947393966,0.0
66,60.0,0.2,10.0,0.0,42.549044947393966,0.0
67,60.0,0.2,100.0,0.0,42.549044947393966,0.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,0.5713453288134182,42.549044947393966,0.08758984803233237
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,276.5306429033866,42.549044947393966,42.39341037143693
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,19.706219246459224,42.549044947393966,3.0210534015809913
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.017402435445688858,42.549044947393966,0.0026678728243845293
