,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,96.19695760697907,32.21705102495497,16.9479995768731
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,2787.1161837610034,32.21705102495497,491.03469671114306
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,2.0826378353080224,32.21705102495497,0.36691955784908853
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,125.81326660764746,32.21705102495497,22.16580692648366
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,5.346969206101657,32.21705102495497,0.9420301233725284
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.10496245668840465,32.21705102495497,0.01849230698969199
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.06373642197286082,32.21705102495497,0.011229095799897542
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,1802.4024299553926,32.21705102495497,317.54762707820663
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,99.69154099374794,32.21705102495497,17.563675989450307
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,77.87893980486614,32.21705102495497,13.720727470953188
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,1.9502163763520668,32.21705102495497,0.3435895182492537
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,3.7843768797603943,32.21705102495497,0.6667322891743339
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,2.134034394758211,32.21705102495497,0.3759746141573489
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,1518.5429460127116,32.21705102495497,267.537205403468
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,106.50428664988877,32.21705102495497,18.76394690622244
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.10335417168345228,32.21705102495497,0.01820895901007307
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,4.336563643471248,32.21705102495497,0.7640166656299934
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,70.94833259768397,32.21705102495497,12.49969168212201
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1737.4971801298213,32.21705102495497,306.1126069492455
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,4279.037825651604,32.21705102495497,753.881755334287
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1266.3482714866823,32.21705102495497,223.10549629870212
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,343.5516566761178,32.21705102495497,60.5270008202263
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,873.9464897853502,32.21705102495497,153.9720705056608
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,25.0917748329945,32.21705102495497,4.420673998755795
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,1008.2082682296398,32.21705102495497,177.6263379676389
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,77.2254411829444,32.21705102495497,13.605593950690865
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.07225788897902671,32.21705102495497,0.012730409592012312
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,42.96441845170738,32.21705102495497,7.5694799903662195
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,2.932501010593488,32.21705102495497,0.5166486251028032
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,1.9919163279897074,32.21705102495497,0.3509362242188725
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,50.0,0.4,10.0,0.044760363316246006,32.21705102495497,0.00788588992225454
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,1.4501495465591716,32.21705102495497,0.25548764236286503
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,31.092095271115692,32.21705102495497,5.477811675207667
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.03657993437570666,32.21705102495497,0.006444660285977117
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,50.0,0.4,100.0,0.0012674609490624556,32.21705102495497,0.00022330152806054272
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,20.52242389687929,32.21705102495497,3.6156448205123564
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,50.0,0.4,1.0,0.6495156744134235,32.21705102495497,0.11443180375937918
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,430.0325013697019,32.21705102495497,75.76321364581942
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.8904479350482306,32.21705102495497,0.15687929849176505
65,60.0,0.2,1.0,0.0,32.21705102495497,0.0
66,60.0,0.2,10.0,0.0,32.21705102495497,0.0
67,60.0,0.2,100.0,0.0,32.21705102495497,0.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,19.975914163471828,32.21705102495497,3.5193606244113904
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,280.12216687762833,32.21705102495497,49.35198039330082
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,0.5713681670563366,32.21705102495497,0.10066376000239546
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,9.684479412403865,32.21705102495497,1.7062135546348003
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,16.485280186251586,32.21705102495497,2.904380019612559
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,204.71758452775242,32.21705102495497,36.06718572254634
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,0.4543159773640955,32.21705102495497,0.08004148139062107
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.017555319601333406,32.21705102495497,0.0030928997816214204
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,0.6685395798519463,32.21705102495497,0.11778343929280034
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,160.58028200574077,32.21705102495497,28.291066777875024
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,80.0,0.1,10.0,11.811310187947562,32.21705102495497,2.080919033692281
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,80.0,0.2,100.0,0.016223937172166965,32.21705102495497,0.002858336554181761
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,80.0,0.1,100.0,0.39080235228229504,32.21705102495497,0.06885163799235193
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,80.0,0.2,10.0,0.5587439175699168,32.21705102495497,0.09843961715758412
68,80.0,0.2,1.0,0.0,32.21705102495497,0.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,90.0,0.1,10.0,9.513414293127543,32.21705102495497,1.6760752670918841
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90.0,0.1,100.0,0.2990508196250622,32.21705102495497,0.052686834288212483
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90.0,0.2,100.0,0.012153184455501903,32.21705102495497,0.002141150511755517
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,5.398360768064029,32.21705102495497,0.9510842992223677
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,127.28411781435159,32.21705102495497,22.424941791545717
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,90.0,0.2,10.0,0.41816464170772094,32.21705102495497,0.07367233171427848
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,100.0,0.2,10.0,0.3412982462231757,32.21705102495497,0.060129994507833184
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,103.36078474036397,32.21705102495497,18.210124099786192
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,100.0,0.1,10.0,7.954808065833849,32.21705102495497,1.401479704635459
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,100.0,0.1,100.0,0.24982681524121406,32.21705102495497,0.044014539173871645
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,4.001267007768253,32.21705102495497,0.704944036085532
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,100.0,0.2,100.0,0.010847068126023826,32.21705102495497,0.0019110386709031246
