,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,2664.4806333405927,118.05806081978369,245.22500115445663
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,119.32779092307847,118.05806081978369,10.982312012597834
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.12467444752735206,118.05806081978369,0.01147439060215457
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,2.4165330078363767,118.05806081978369,0.22240518554398084
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,5.6134673804176405,118.05806081978369,0.5166344718811318
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,120.63765807720318,118.05806081978369,11.102865403139727
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.07675959331536385,118.05806081978369,0.007064555517439028
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,2.0657268043291737,118.05806081978369,0.19011879900260492
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,1722.4614751137808,118.05806081978369,158.52643548536952
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,3.902147659619449,118.05806081978369,0.35913346577239746
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,109.11487828064453,118.05806081978369,10.04236841413705
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,78.94815057559185,118.05806081978369,7.265978995602251
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.11221143193836737,118.05806081978369,0.010327359179237069
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,2.379041168275116,118.05806081978369,0.2189546307586882
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,72.77362154525592,118.05806081978369,6.697707314567741
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,109.78473851535513,118.05806081978369,10.104018881689626
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,4.484092549897167,118.05806081978369,0.4126926602377234
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,1539.7407471282156,118.05806081978369,141.70976578601963
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,885.9697191157416,118.05806081978369,81.540065510095
