,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,0.466901757605205,27.850622979726086,0.08847244952689871
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.013107905633360825,27.850622979726086,0.0024837955751099506
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,42.565383254989,27.850622979726086,8.065644774900141
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,0.49984099627030415,27.850622979726086,0.0947140519256556
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,806.5118557120967,27.850622979726086,152.8246109273983
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,10.9528521383534,27.850622979726086,2.0754380171030076
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,800.022454643293,27.850622979726086,151.59494494484915
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.0039044158525971405,27.850622979726086,0.000739841366677847
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,39.24984387980894,27.850622979726086,7.4373886476805575
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,0.5884159612644251,27.850622979726086,0.11149797700656179
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,12.1327104888554,27.850622979726086,2.2990074439971817
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,0.19293947770436815,27.850622979726086,0.03655978570416848
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.01870488060756078,27.850622979726086,0.003544357198283203
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,52.16589953514248,27.850622979726086,9.884830884596163
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,0.22080198447760552,27.850622979726086,0.041839406489559666
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,949.7255364479156,27.850622979726086,179.96193678680277
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,25.2065953725448,27.850622979726086,4.7763564829586915
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,0.8971094452866035,27.850622979726086,0.16999179982812368
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1360.6938468388714,27.850622979726086,257.8356489885093
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,30.90263568691652,27.850622979726086,5.8556898352279445
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,273.41473076998244,27.850622979726086,51.80890963450125
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,2.950568831081595,27.850622979726086,0.5590984564342468
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,3549.239918485709,27.850622979726086,672.5396605009063
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,272.52928005185083,27.850622979726086,51.641127027791306
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,842.3422175612945,27.850622979726086,159.6140475242811
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,21.556278216532917,27.850622979726086,4.08466386222645
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,0.1876479101429022,27.850622979726086,0.035557095231549124
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,37.259780127429636,27.850622979726086,7.060294725844085
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,0.949388289537348,27.850622979726086,0.17989803242193952
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.009508743999626883,27.850622979726086,0.0018017963305302666
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.12400907038702452,27.850622979726086,0.023498275690730337
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,390.022634153624,27.850622979726086,73.90475030869729
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,9.883657108082208,27.850622979726086,1.8728380015552735
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,17.548172494052647,27.850622979726086,3.325174471889967
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.005666841724342781,27.850622979726086,0.00107380055925549
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,0.5045465846650254,27.850622979726086,0.09560570616547186
