,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,94.84376973977686,21.638266045940078,20.389077627963147
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,2331.1455810457114,21.638266045940078,501.1389608872804
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,45.67317511933799,21.638266045940078,9.818609230514209
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,1199.7602136393396,21.638266045940078,257.9189355078422
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,766.4787944957458,21.638266045940078,164.77408778709875
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,23.272298890430154,21.638266045940078,5.002971834207244
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,920.0154935916374,21.638266045940078,197.78070156042764
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,554.8139342903585,21.638266045940078,119.27134914985906
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,5.768071696602757,21.638266045940078,1.2399935378819895
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,247.24364779763724,21.638266045940078,53.151302840429096
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,2.158951990041924,21.638266045940078,0.4641215742561212
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,73.25093134684894,21.638266045940078,15.747148491137315
