,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.006566297850282976,1.953873001154117,0.004697560831389562
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,0.4164523997639377,1.953873001154117,0.29793203504847926
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.0013027145512289485,1.953873001154117,0.0009319682094638176
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,0.1348897643803753,1.953873001154117,0.09650078143825148
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,0.07377598062028501,1.953873001154117,0.052779688762408315
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.011808375957914178,1.953873001154117,0.008447768536699768
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,2.4600160543631286,1.953873001154117,1.75990723007908
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,17.202201403339235,1.953873001154117,12.306537011950882
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.006341605147596286,1.953873001154117,0.004536814599143249
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,0.14747017648405636,1.953873001154117,0.10550086831954403
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.0039052076101619604,1.953873001154117,0.0027938041688362774
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.09016832708116848,1.953873001154117,0.06450685168205793
