,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.00853257419925337,0.002430819833397654,0.002430819833397654,0.002090793612822077,0.002036413802552528,0.002036413802552528,0.002036413802552528,0.002026216364783219,0.0015535779003332283,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.007797850362406921,0.001533050752886134,0.001533050752886134,0.001362698638023791,0.0013253325324226975,0.0013253325324226975,0.0013253325324226975,0.0013128150337295649,0.0005067417086579095,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009067226730940773,0.0023133507404017105,0.0023133507404017105,0.00197241689347323,0.0019295830557891098,0.0019295830557891098,0.0019295830557891098,0.0019159500962986614,0.0014911277647108804,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.00992442336065425,0.003251700862918402,0.003251700862918402,0.002828054468441119,0.0027469289352866928,0.0027469289352866928,0.0027469289352866928,0.0027356561345696765,0.002508135256235266,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.012724226062311614,0.004392923281374723,0.004392923281374723,0.0038208188133837845,0.0037159672889481815,0.0037159672889481815,0.0037159672889481815,0.0036921148926203806,0.0034226488270540445,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.011389280262273612,0.0033495168611909795,0.0033495168611909795,0.002892958206705423,0.002818505825999505,0.002816015831042787,0.002816015831042787,0.0027887499006691483,0.0024836468890174837,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.016678289973720794,0.006188047550676425,0.006188047550676425,0.0053554596319297584,0.005220925074210313,0.0052159282582543084,0.0052159282582543084,0.005168504207335424,0.004677570033839418,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014385503651502964,0.004404997888677345,0.004404997888677345,0.0039003418077204356,0.0038232202891121383,0.0038208801118994507,0.0038208801118994507,0.0037905057844327223,0.0033887814551496974,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.021812241159092083,0.008312884198958781,0.008312884198958781,0.007158334572178677,0.006964294706926848,0.006964294706926848,0.006964294706926848,0.0069018207629278966,0.006052874874328144,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.01919187982939379,0.006168321194490665,0.006168321194490665,0.005323496867736412,0.005165887681058123,0.005165887681058123,0.005165887681058123,0.005137458248625197,0.004450338237361762,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.023795122594237866,0.00773515253683566,0.00773515253683566,0.006707771271485854,0.006567628137969809,0.00655663936772607,0.00655663936772607,0.006515467792220412,0.005547965544422334,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.028271549551741246,0.011336408193149784,0.011336408193149784,0.009736923575974063,0.009469734922495743,0.009469734922495743,0.009469734922495743,0.009469734922495743,0.008224806647070631,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.029259443458962652,0.009521607473772814,0.009521607473772814,0.008203719228233592,0.007942080778866831,0.007942080778866831,0.007942080778866831,0.007889782244072076,0.006460798958549631,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.041095919273227074,0.015792703721990497,0.015792703721990497,0.013597668681656376,0.013149446496589865,0.013142418545890494,0.013138929552411593,0.013047943038489222,0.009841135456682824,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.03524696675660726,0.01154199246740987,0.01154199246740987,0.009770802051740236,0.009507880780930216,0.00950459837232537,0.00950459837232537,0.009425716731031113,0.007530040712851327,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.040690155793802536,0.013323932192886342,0.013323932192886342,0.011572231825264918,0.011304257575358953,0.011297550284389718,0.011297550284389718,0.011227219962678208,0.008553896417336589,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.05643136437718182,0.0213376989811396,0.0213376989811396,0.018393665477921144,0.017894847980176567,0.017878625718197576,0.017878625718197576,0.01773270851866969,0.012179495396903313,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.04784566505453205,0.0162207545786254,0.0162207545786254,0.013994229800331852,0.013647298617958666,0.013640641704379772,0.013640641704379772,0.013537977411029198,0.010069294382883542,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.062309231335869325,0.023681539505845776,0.023681539505845776,0.02038645853276065,0.01981574568703675,0.01979631696523655,0.01979631696523655,0.019598417478853405,0.01293044160628442,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.05505266850358572,0.018355474756895026,0.018355474756895026,0.015556861839956042,0.015162552355937988,0.015162552355937988,0.015162552355937988,0.014997213076784355,0.010671019822804594,100.0,0.1,1.0
