,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2510,715,715,615,599,599,599,596,457,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1877,369,369,328,319,319,319,316,122,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4653,1187,1187,1012,990,990,990,983,765,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4404,1443,1443,1255,1219,1219,1219,1214,1113,10.0,0.2,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5338,1843,1843,1603,1559,1559,1559,1549,1436,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4590,1350,1350,1166,1136,1135,1135,1124,1001,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6692,2483,2483,2149,2095,2093,2093,2074,1877,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6159,1886,1886,1670,1637,1636,1636,1623,1451,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6631,2527,2527,2176,2117,2117,2117,2098,1840,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7430,2388,2388,2061,2000,2000,2000,1989,1723,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8659,2815,2815,2441,2390,2386,2386,2371,2019,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,636,255,255,219,213,213,213,213,185,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,8948,2912,2912,2509,2429,2429,2429,2413,1976,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,11739,4511,4511,3884,3756,3754,3753,3727,2811,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10729,3513,3513,2974,2894,2893,2893,2869,2292,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12148,3978,3978,3455,3375,3373,3373,3352,2554,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,27832,10524,10524,9072,8826,8818,8818,8746,6007,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,35866,12159,12159,10490,10230,10225,10225,10148,7548,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16055,6102,6102,5253,5106,5101,5101,5050,3332,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4328,1443,1443,1223,1192,1192,1192,1179,839,100.0,0.1,1.0
