,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,142.51215042797173,26.699862107060696,27.580198285416937
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,2156.2889089491146,26.699862107060696,417.3038964808801
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,1.7663338048163955,26.699862107060696,0.3418363727497959
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,289.4614587944274,26.699862107060696,56.0191141987666
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,14.090286117016218,26.699862107060696,2.7268754547492207
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.18059671869988925,26.699862107060696,0.03495065716488536
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,15.110516406233447,26.699862107060696,2.924319346999103
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.2630503315016948,26.699862107060696,0.050907801756371655
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,231.55470094986856,26.699862107060696,44.812491755540265
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,4.629513506012147,26.699862107060696,0.8959439604089342
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,3595.4347874896603,26.699862107060696,695.8199989506821
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,287.8993323752561,26.699862107060696,55.716797826034515
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,193.88066158155678,26.699862107060696,37.52148202149094
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.38472241565417603,26.699862107060696,0.07445484807240785
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,8.60144047992576,26.699862107060696,1.6646260214595836
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,397.2191539534455,26.699862107060696,76.87332621044574
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,17.68806541957705,26.699862107060696,3.4231491847702142
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,3838.7513716509616,26.699862107060696,742.908753257921
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,96.96814665166266,26.699862107060696,18.76612417952346
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,3339.1251793049937,26.699862107060696,646.216720949741
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,4671.425545330521,26.699862107060696,904.0551449744298
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1346.9279703003203,26.699862107060696,260.6692859906887
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,4211.269969941198,26.699862107060696,815.0018118146581
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,10624.72744968842,26.699862107060696,2056.190218945736
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,10.857150585536912,26.699862107060696,2.1011707778213786
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,273.0111031023442,26.699862107060696,52.83549743001534
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,6.8938706937779255,26.699862107060696,1.334162175768426
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,110.10744537320056,26.699862107060696,21.308956232671772
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,2264.538248363177,26.699862107060696,438.25325579052145
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.29669404896752,26.699862107060696,0.057418828331856395
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,47.82192464502777,26.699862107060696,9.254917283468743
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,3.1386719056419192,26.699862107060696,0.6074232495300337
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,4.344755100052418,26.699862107060696,0.8408350221449089
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,110.17492699969495,26.699862107060696,21.322015867473073
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,960.699263948114,26.699862107060696,185.9229273628482
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.125420481101243,26.699862107060696,0.024272468890805022
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,69.89136637429112,26.699862107060696,13.525988747295793
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,2.176915132159535,26.699862107060696,0.4212956636692518
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,589.2473063771521,26.699862107060696,114.03629445086169
63,60.0,0.2,10.0,0.0,26.699862107060696,0.0
62,60.0,0.2,1.0,0.0,26.699862107060696,0.0
64,60.0,0.2,100.0,0.0,26.699862107060696,0.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,412.9844084106824,26.699862107060696,79.92435619381833
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,52.33332443303999,26.699862107060696,10.12800284371402
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,1.4996496971125322,26.699862107060696,0.2902253308284301
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,17.53729531278351,26.699862107060696,3.3939708345145214
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,1.9782238099120555,26.699862107060696,0.38284318050398775
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.059385571144720414,26.699862107060696,0.011492815332205173
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,80.0,0.1,100.0,1.2222018233635774,26.699862107060696,0.23653119072259404
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,80.0,0.1,10.0,38.1196490479689,26.699862107060696,7.377248018195176
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,80.0,0.2,100.0,0.05020608477668721,26.699862107060696,0.009716320812767019
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,301.9413272132082,26.699862107060696,58.434327529926385
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,80.0,0.2,10.0,1.4260867763092566,26.699862107060696,0.27598879074313964
65,80.0,0.2,1.0,0.0,26.699862107060696,0.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,90.0,0.2,10.0,1.1146077628713782,26.699862107060696,0.21570864672338738
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90.0,0.1,100.0,0.970465892648245,26.699862107060696,0.18781305080369687
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,90.0,0.1,10.0,29.81379259180577,26.699862107060696,5.7698260032774416
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,239.85624867271102,26.699862107060696,46.41907990668577
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90.0,0.2,100.0,0.03614440865936152,26.699862107060696,0.006994982215486028
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,9.346890867025275,26.699862107060696,1.8088921028175846
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,100.0,0.2,100.0,0.02995530618172387,26.699862107060696,0.005797212951395911
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,6.903861545726442,26.699862107060696,1.3360956928541823
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,177.06590143960707,26.699862107060696,34.26734251518205
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,100.0,0.1,100.0,0.7791064555672406,26.699862107060696,0.15077949820744066
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,100.0,0.1,10.0,23.065527690387334,26.699862107060696,4.463842734449373
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,100.0,0.2,10.0,0.8491637615288469,26.699862107060696,0.16433760103559067
