,Preselections,n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.003914504301875276,0.0008308992327371845,0.0008308992327371845,0.0007425832226199536,0.0007222236159960808,0.0007222236159960808,0.0007222236159960808,0.0007154216370711536,0.00021498694478663995,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.004723364531780635,0.001321506406593092,0.001321506406593092,0.001145549553497943,0.0011006738896770754,0.0011006738896770754,0.0011006738896770754,0.0010903413564992174,0.0006521714331038262,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005471125943492917,0.00161192577965141,0.00161192577965141,0.0014067296624708117,0.0013663266550381263,0.0013663266550381263,0.0013663266550381263,0.0013569984125118449,0.0008627176772293131,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006407669141315798,0.0022149688587115514,0.0022149688587115514,0.0019075366972835513,0.0018539413530865717,0.0018539413530865717,0.0018539413530865717,0.001841425712542178,0.001464225207905691,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009330421637200286,0.003902191857413424,0.003902191857413424,0.0034373161551130844,0.003332083996133122,0.003330164699490623,0.003330164699490623,0.003307226992917188,0.0029496167107622667,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.008252046925931598,0.0029846024768239343,0.0029846024768239343,0.0025497692392363303,0.0024823058908554517,0.0024823058908554517,0.0024823058908554517,0.002462346413775372,0.0019525716981175665,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.01215010978303565,0.005398860365339045,0.005398860365339045,0.004702389967938443,0.004605267911765294,0.004605267911765294,0.004605267911765294,0.0045729035510671005,0.004204644272186465,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.0106542249533897,0.0041987371211509245,0.0041987371211509245,0.003628299067761613,0.0035759547821778456,0.0035720619285216585,0.0035720619285216585,0.0035468271416925026,0.00303447056609807,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016482953969930686,0.007629987510310098,0.007629987510310098,0.006517980608874644,0.0063435991921947125,0.006340871877125328,0.006340871877125328,0.006308186489791193,0.005711395547619995,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014083971407112558,0.005938812784200567,0.005938812784200567,0.0051770231914811055,0.005087376835783768,0.005087376835783768,0.005087376835783768,0.005038119506019461,0.004386292193859889,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.020871537681822552,0.009702149458666638,0.009702149458666638,0.008347746566909193,0.008089131222712393,0.008089131222712393,0.008089131222712393,0.007985588132255252,0.007036308086603374,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.01830919283492869,0.007718541052390126,0.007718541052390126,0.006624644943005337,0.0064490593715841125,0.0064490593715841125,0.0064490593715841125,0.006398548384104124,0.005638637169782618,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.022329383100961626,0.00959418874134654,0.00959418874134654,0.00830621318213084,0.008094695000952194,0.008090979520770883,0.008090979520770883,0.008053886192334811,0.006914358593106944,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.03186001374884067,0.015719649562777507,0.015719649562777507,0.013548886782951254,0.013199960962218442,0.01319570276708603,0.01319570276708603,0.013110550194903791,0.010488557786760992,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027152762609771817,0.012352892024094567,0.012352892024094567,0.010754261264629746,0.010444721722810338,0.010441366314764947,0.010441366314764947,0.010367312165237504,0.008808847613845453,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.03185295592730576,0.014480104635288964,0.014480104635288964,0.012426032017133213,0.012077548241170582,0.01207417197093568,0.01207417197093568,0.011996381266451485,0.00991203375564601,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.03743319335924303,0.0187779821606606,0.0187779821606606,0.016083500350516908,0.015641225437152156,0.015641225437152156,0.015641225437152156,0.015482185440252474,0.0118480967314424,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.04386921699215527,0.022407666273023437,0.022407666273023437,0.019377548578467043,0.018909555058221436,0.018905651744936514,0.018905651744936514,0.018730207760792688,0.013669647209069057,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.036601162561717304,0.017367601704117483,0.017367601704117483,0.01495724307706572,0.014603045419769856,0.014597108665862054,0.014595918950696243,0.01448416203023812,0.011552153604982685,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.04983007866872785,0.025623509299531905,0.025623509299531905,0.021997666642757326,0.021433621859423824,0.021426141311552842,0.021426141311552842,0.021220650600069838,0.014890750726885513,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.04193542708630508,0.01983735677511605,0.01983735677511605,0.017132578352619412,0.01666833311520616,0.016665158073317133,0.016665158073317133,0.016530428070747442,0.0128256684114927,100.0,0.1,10.0
