,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,124.18396104175892,16.406367965136525,30.65909169732853
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,240.0560399999129,16.406367965136525,59.26610877213046
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,1.396777794355343,16.406367965136525,0.3448427487631232
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,1572.6312831434773,16.406367965136525,388.258244555189
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,12.32802098692759,16.406367965136525,3.043596956596563
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.16774631858912,16.406367965136525,0.04141396135515208
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,200.13092452252562,16.406367965136525,49.40921770359678
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,250.84738296564973,16.406367965136525,61.930323786278635
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.24018856003635716,16.406367965136525,0.05929882591140508
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,4.093083436976821,16.406367965136525,1.010518744662129
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,2998.4127395698115,16.406367965136525,740.261547125207
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,13.614564191861861,16.406367965136525,3.3612244969146796
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,349.7674426164961,16.406367965136525,86.35215051896498
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,3206.0651634447236,16.406367965136525,791.5277062277714
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,7.892997231577538,16.406367965136525,1.9486584568543606
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,176.6070285892654,16.406367965136525,43.60153306827004
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.3630228705985255,16.406367965136525,0.08962470986220991
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,16.78487590901552,16.406367965136525,4.143925232419841
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,3208.1282597247,16.406367965136525,792.0370526642806
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,10002.265806210078,16.406367965136525,2469.4041159673498
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,93.94917018834803,16.406367965136525,23.19459131057919
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,3915.7277745580727,16.406367965136525,966.7323855258767
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,3969.5331249604424,16.406367965136525,980.0160910700929
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1257.0635266956515,16.406367965136525,310.3494655108425
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,10.443604218554531,16.406367965136525,2.5783637170310647
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,2047.7168997672006,16.406367965136525,505.54950634100567
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,254.32004088155514,16.406367965136525,62.78766910353258
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,103.64743389211557,16.406367965136525,25.588942027888784
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,6.419185973306825,16.406367965136525,1.5847973419984536
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.2858305026378573,16.406367965136525,0.07056711282804681
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.12074778103719186,16.406367965136525,0.02981075220996814
