,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75","minDxy(e1, e2) > 0.01",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.007306084347248066,0.0005959121646433841,0.0005959121646433841,0.0005040260124318779,0.0004745653244843689,0.0004745653244843689,0.0004745653244843689,0.0004567273411086268,0.00015086963032473374,1.5091766973614485e-05,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.007414270155088269,0.0006469798413140683,0.0006469798413140683,0.0005618097737911945,0.0005277838890454348,0.0005277838890454348,0.0005277838890454348,0.0005005017925611027,0.00017364023430311814,3.7440661172463344e-05,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.008038948093792015,0.0006468518961049534,0.0006468518961049534,0.0005454041665682605,0.0005148335380257535,0.0005148335380257535,0.0005148335380257535,0.0005044321772342362,0.00019957237421611493,4.746246999461085e-05,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.00797709862657122,0.000600834907315777,0.000600834907315777,0.0005065851040890407,0.0004833614009871116,0.0004833614009871116,0.0004833614009871116,0.0004669751070511105,0.00019933570699487652,4.778010140067126e-05,10.0,0.2,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.010335342307593722,0.0009224185738316615,0.0009224185738316615,0.0007932188284407307,0.0007600843818875071,0.0007600843818875071,0.0007600843818875071,0.0007220023329761535,0.00036432796127514516,0.00015238854331976124,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.01064869843766006,0.0009278374983264792,0.0009278374983264792,0.0008175345078862508,0.0007746338154679585,0.0007746338154679585,0.0007746338154679585,0.0007486698740583597,0.0003210267633245301,9.233011060794329e-05,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.01358496758660357,0.0012851788070686538,0.0012851788070686538,0.001082445996706749,0.0010516805397370382,0.0010516805397370382,0.0010516805397370382,0.001010657983771499,0.0005412247422475711,0.00023601336831979833,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.013535937524539444,0.00119684470196682,0.00119684470196682,0.0010406028817813934,0.0009954315940102817,0.0009954315940102817,0.0009954315940102817,0.0009663249508229548,0.00046956414716926067,0.00015623770471621934,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.01757580834755236,0.001801558110553257,0.001801558110553257,0.0014758222138611524,0.001411009908637466,0.001411009908637466,0.001411009908637466,0.0013644895499112667,0.0007128548971956072,0.0003373088994386885,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.017664331272528238,0.0016571303115037912,0.0016571303115037912,0.0014187219168184462,0.0013708536279668326,0.0013708536279668326,0.0013708536279668326,0.0013305906921801504,0.0006662303332089583,0.00027977158422353506,40.0,0.1,100.0
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,0.021028453012212414,0.00232153348202627,0.00232153348202627,0.001970773034796139,0.0019206290905546012,0.0019206290905546012,0.0019206290905546012,0.001762347600367732,0.0011337228279223236,0.0005667318786030464,50.0,0.4,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.022522272782321738,0.0022314058392225913,0.0022314058392225913,0.0019052466750798765,0.0018472421671829726,0.0018472421671829726,0.0018472421671829726,0.0018037747590585675,0.000926570277996272,0.0003945405783919302,50.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.022439338812072256,0.0024195819483492165,0.0024195819483492165,0.0020634310214402325,0.0019799715519888163,0.0019799715519888163,0.0019799715519888163,0.0018933743897166894,0.001007755859929901,0.0005168211391223514,50.0,0.2,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.027190388602682875,0.0026237882134596325,0.0026237882134596325,0.0022120512775021172,0.002099809422545724,0.002099809422545724,0.002099809422545724,0.002041985532668856,0.001065405250664792,0.0004935687121330546,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.03255392799976495,0.0036001070631755372,0.0036001070631755372,0.0030145096371628623,0.002869989420230888,0.002869989420230888,0.002869989420230888,0.002746139114821992,0.0015628762520710831,0.0008249274886409799,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.03281005815334121,0.0034674117101523164,0.0034674117101523164,0.002934749729533357,0.002836949130903252,0.002836949130903252,0.002836949130903252,0.00274275315229463,0.0014746208251577896,0.000670401136367252,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.03695870364946555,0.004104524188951668,0.004104524188951668,0.0034610808936052146,0.0033532079403376354,0.0033490535991462884,0.0033490535991462884,0.0032453590565149053,0.0018881260265550743,0.0008880750101295022,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.03814286044059044,0.004461177496948248,0.004461177496948248,0.003820683089260971,0.0036802981678747846,0.003676710781074147,0.003676710781074147,0.0034968573457195918,0.0021692998760280426,0.0011943703470590524,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.04289789237868635,0.005170652425652081,0.005170652425652081,0.00436069594998187,0.004207611239363789,0.004205757722118599,0.004205757722118599,0.0040083040483106245,0.0025213471244976827,0.0013388384121419826,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.041558918990691134,0.004565306153591189,0.004565306153591189,0.0038724895650991565,0.0037751045836825286,0.0037751045836825286,0.0037751045836825286,0.003669622979409132,0.002114858350835327,0.001032209594096426,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.048055388680122275,0.0060824803008053645,0.0060824803008053645,0.005128882672139736,0.0048972304425883365,0.004893448541920065,0.004893448541920065,0.0046732337347148885,0.003032042580484766,0.0017097076823940703,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.04603756251182028,0.005306182450029299,0.005306182450029299,0.004453803696994782,0.004326659733881019,0.004325379304905764,0.004325379304905764,0.004212436325529626,0.002465099181804371,0.001254445410816599,100.0,0.1,100.0
