,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.010073286919057128,0.0009051749251402936,0.0009051749251402936,0.0007546277928497425,0.0007113502483782079,0.0007113502483782079,0.0007113502483782079,0.0006886675767533067,5.3611216453730704e-05,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.010582941847478926,0.0011345441134705723,0.0011345441134705723,0.0009391143100957348,0.00088649356864487,0.00088649356864487,0.00088649356864487,0.0008452356016412824,0.00015032255805159944,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.011907134347806783,0.001244970954829496,0.001244970954829496,0.001060023469151018,0.0009994544954755327,0.0009994544954755327,0.0009994544954755327,0.0009699418413384942,0.00019887926361281474,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.012541513453271164,0.001564200659380236,0.001564200659380236,0.0013014723506874462,0.0012353298843428076,0.0012353298843428076,0.0012353298843428076,0.0012049349464119939,0.0004558458509738935,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.01643057779762816,0.002389061554052708,0.002389061554052708,0.0020925280901723632,0.001979717140366166,0.0019778037098422937,0.0019778037098422937,0.0019433857588828025,0.0009946165044790866,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.016023401381780156,0.001964395211162629,0.001964395211162629,0.0017044407385893498,0.0016419118037049743,0.0016419118037049743,0.0016419118037049743,0.001621907583104333,0.00045747749140334024,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.020547817281762065,0.003564273713624458,0.003564273713624458,0.0031044947537056354,0.0030038566943049847,0.002998106483341198,0.002998106483341198,0.002960716015301535,0.0018053290530203275,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.020005905933995618,0.0028134224330659406,0.0028134224330659406,0.0024255310236181676,0.0023537239360586462,0.002351781727478944,0.002351781727478944,0.0023323630165013485,0.0008940663376442714,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.02641833212552851,0.00516376306407503,0.00516376306407503,0.004422403981226317,0.004256266344406009,0.004253539382793039,0.004253539382793039,0.004207243565778764,0.0024877204554690485,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.025662467977031533,0.0036712211780319903,0.0036712211780319903,0.0031673082871357568,0.0030419002888798915,0.0030419002888798915,0.0030419002888798915,0.0030150333612315055,0.0012610332432560585,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.03311698237653205,0.0070808552579899355,0.0070808552579899355,0.006045261998968196,0.005778136298625889,0.005778136298625889,0.005778136298625889,0.005709355554155913,0.003535844487031327,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.03267130802418001,0.004953968403669199,0.004953968403669199,0.004239790083153707,0.004083609179095922,0.004083609179095922,0.004083609179095922,0.0040426788825195575,0.0017509936201633757,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.03947121860070129,0.006179511310985865,0.006179511310985865,0.005317243207488402,0.005113560704336121,0.005107196920329889,0.005107196920329889,0.005049892744308087,0.0021479313100527483,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.04880400416701317,0.011110408750836655,0.011110408750836655,0.00938627530635972,0.00909777814611293,0.009094254612875517,0.009094254612875517,0.008953531269002215,0.005342596866271379,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.04614349128319564,0.007821955370703473,0.007821955370703473,0.006711182298334905,0.006462159081855967,0.006458795274716348,0.006458795274716348,0.006377982712847774,0.0031098711968989656,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.05351508185048066,0.009353267708440617,0.009353267708440617,0.008067279997554116,0.007793288427073217,0.0077899209624273545,0.0077899209624273545,0.007725713853779786,0.003678544557622957,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.05546608510751347,0.013319934474499426,0.013319934474499426,0.011198886886801476,0.010929406411151072,0.010922471598294205,0.010922471598294205,0.010763318166742888,0.006818665211791558,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.06437010302246411,0.015742587235504677,0.015742587235504677,0.013399806247406994,0.012993289181248407,0.012985772561898104,0.012985772561898104,0.012778821046622868,0.007642947353035858,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.060137333329980204,0.010865301475446761,0.010865301475446761,0.009205342459684936,0.008914144884184825,0.008909388172777772,0.008909388172777772,0.008805918952472845,0.004463546018947446,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.07176875088798781,0.018282919737560268,0.018282919737560268,0.015549391653614478,0.015091685659695112,0.01508781457533577,0.01508781457533577,0.014831759205830077,0.00884086734926823,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.06686910814032854,0.012481067375565907,0.012481067375565907,0.01073853451356383,0.010433348395645694,0.010433348395645694,0.010433348395645694,0.010314807742061352,0.0051441086418216935,100.0,0.1,10.0
