,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,4886,439,439,366,345,345,345,334,30,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,2817,302,302,250,236,236,236,225,54,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,7660,801,801,682,643,643,643,624,152,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,7015,875,875,728,691,691,691,674,281,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,8590,1249,1249,1094,1035,1034,1034,1016,547,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,6410,786,786,682,657,657,657,649,202,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,7150,1240,1240,1080,1045,1043,1043,1030,641,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,10311,1450,1450,1250,1213,1212,1212,1202,490,30.0,0.1,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,11456,1639,1639,1414,1358,1358,1358,1346,597,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,9695,1895,1895,1623,1562,1561,1561,1544,934,40.0,0.2,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,3840,821,821,701,670,670,670,662,419,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,13586,2060,2060,1763,1698,1698,1698,1681,766,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,12404,1942,1942,1671,1607,1605,1605,1587,714,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,13868,3157,3157,2667,2585,2584,2584,2544,1573,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,13709,2324,2324,1994,1920,1919,1919,1895,963,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,15814,2764,2764,2384,2303,2302,2302,2283,1135,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,8028,1928,1928,1621,1582,1581,1581,1558,1023,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,34204,8365,8365,7120,6904,6900,6900,6790,4259,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,50576,9138,9138,7742,7497,7493,7493,7406,3901,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,18509,4715,4715,4010,3892,3891,3891,3825,2413,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,45134,8424,8424,7248,7042,7042,7042,6962,3626,100.0,0.1,10.0
