,Preselections,0 < n(jet) < 3 & n(good vertex) > 0,computing BDT score,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,150.47233747231584,12.386878316105102,12.386878316105102,10.46081813724354,9.839001565089424,9.824169091593422,9.824169091593422,9.438743316826523,0.2371273990617932,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.08741755482446338,0.007791826977798561,0.007791826977798561,0.006817316673085762,0.006436490739369563,0.006436490739369563,0.006436490739369563,0.006097209634544908,0.000423228408385132,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,113.46325208557849,9.213783548355137,9.213783548355137,7.7676816655381105,7.3241474083045555,7.3241474083045555,7.3241474083045555,7.169945382195255,0.655516486255533,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.04901601909491169,0.003786069547043141,0.003786069547043141,0.0032217007314944623,0.003076040472263228,0.003076040472263228,0.003076040472263228,0.002975905464369137,0.00043702928683393276,10.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,109.51073427290497,9.758423039378673,9.758423039378673,8.60588085098641,8.121346812792375,8.121346812792375,8.121346812792375,7.822529990559861,0.8414858439572163,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.04091898520477261,0.003940473991137999,0.003940473991137999,0.0033975869705306578,0.0032635014271937273,0.0032568044902620205,0.0032568044902620205,0.0031027303122031077,0.000790860789674208,20.0,0.2,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.06771710736689744,0.007111311525703322,0.007111311525703322,0.006048900989382193,0.005867733276423529,0.005854763294676195,0.005854763294676195,0.005647618756557491,0.0017877756161869152,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,119.14746228228965,10.860927792759668,10.860927792759668,9.430793158106612,9.027552619763748,9.009181713840276,9.009181713840276,8.734861246529848,1.4758850933129821,30.0,0.1,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,100.8670847200358,9.707530472526585,9.707530472526585,8.317432432723335,8.03574170238055,8.029338117916334,8.029338117916334,7.824346452328016,1.8197783079359349,40.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,3.1937230397477747,0.366691309546956,0.366691309546956,0.3061856292643958,0.29433001350955545,0.29433001350955545,0.29433001350955545,0.28581845914126447,0.10185388039703942,40.0,0.2,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.0035224545401871914,0.00042747530419390663,0.00042747530419390663,0.0003608571731554653,0.00034420254075020004,0.00034420254075020004,0.00034420254075020004,0.0003319886881300118,0.00012658673670579436,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,143.65051744490992,14.679397657010252,14.679397657010252,12.527393432943251,12.138545046881944,12.138545046881944,12.138545046881944,11.873265693523418,2.874346499135479,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,88.94621465717739,9.04962548469511,9.04962548469511,7.663313354321411,7.298076404420526,7.298076404420526,7.298076404420526,7.137025142782028,2.0641803058714,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.0010666404746028301,0.00013661467894186908,0.00013661467894186908,0.00011495098292372743,0.00011016983882087064,0.00011005275394925,0.00011005275394925,0.00010620521653938568,4.367921741875483e-05,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,83.99596622477462,9.2383975839445,9.2383975839445,7.833766603351348,7.602638800599628,7.594100565033557,7.594100565033557,7.345813516636233,2.038042473747757,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,76.02071129600323,8.827130186375017,8.827130186375017,7.43615155298688,7.1985849932129335,7.184614901107851,7.184614901107851,7.016920769795061,2.2786447776488297,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.0007923847141202597,0.00010641077842021164,0.00010641077842021164,9.149367487401865e-05,8.8062547339547e-05,8.798819127520795e-05,8.798819127520795e-05,8.455865298759012e-05,3.6537083741266755e-05,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.0006003757213307755,8.382265858013387e-05,8.382265858013387e-05,7.079548720900372e-05,6.844917695793272e-05,6.839740749704609e-05,6.839740749704609e-05,6.592049007863672e-05,2.852000828911051e-05,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,68.29762308145571,8.016993369535088,8.016993369535088,6.803361487369458,6.627412602043416,6.625154239339494,6.625154239339494,6.476220062005829,2.1911583159914643,90.0,0.1,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,61.40210296591582,7.526005019880596,7.526005019880596,6.3538668547694535,6.1630208064217005,6.1612913557389675,6.1612913557389675,6.013922855117548,2.12439563075781,100.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.00046833033948111345,6.91707371671617e-05,6.91707371671617e-05,5.862329773278421e-05,5.626783759430677e-05,5.614983627855679e-05,5.614983627855679e-05,5.420678673816998e-05,2.5095946596712374e-05,100.0,0.2,100.0
