,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,71.62891150405918,11.617713863700969,21.0149331867549
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,46.26188227270861,11.617713863700969,13.572597218644022
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,982.2221484198814,11.617713863700969,288.1704103855456
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.07214900273852927,11.617713863700969,0.02116752077064952
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,0.9164387452226306,11.617713863700969,0.2688704685888698
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,3.5422367568485456,11.617713863700969,1.0392433336449776
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.0455156494206096,11.617713863700969,0.013353662807952417
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,2.9936721370463464,11.617713863700969,0.8783020518120471
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,970.7531832617792,11.617713863700969,284.80557443511964
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,73.18139706860482,11.617713863700969,21.470411006077608
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,1.4092281060767253,11.617713863700969,0.4134480598999647
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,46.51729487806023,11.617713863700969,13.647531748903008
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,43.04413732580822,11.617713863700969,12.628555299658588
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,3.6891977085897083,11.617713863700969,1.082359646835461
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.09056575210340922,11.617713863700969,0.026570740633877935
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,904.0400267652741,11.617713863700969,265.2328558636232
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,84.56874412099214,11.617713863700969,24.811301331721445
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,1.7414434694088574,11.617713863700969,0.5109154584327851
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1056.0984198328451,11.617713863700969,309.84468792558647
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,285.1803056950368,11.617713863700969,83.66796234255092
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,2391.9759548971797,11.617713863700969,701.7727035212571
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,739.6564385473523,11.617713863700969,217.00498179907186
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,22.633248348012415,11.617713863700969,6.640282420119668
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1004.9866816331229,11.617713863700969,294.84920997161527
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,583.805709324399,11.617713863700969,171.28053069469078
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.06433266368979927,11.617713863700969,0.018874314865031706
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,1.7235954626374344,11.617713863700969,0.5056790997901307
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,2.4784672146526328,11.617713863700969,0.7271480443833908
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,25.52681729071552,11.617713863700969,7.489215577490471
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,63.11906953983884,11.617713863700969,18.518263105459596
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,50.0,0.4,1.0,0.40328021539562725,11.617713863700969,0.11831684447136911
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,50.0,0.4,100.0,0.001076844996954924,11.617713863700969,0.0003159314470696178
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,50.0,0.4,10.0,0.038735716396495305,11.617713863700969,0.011364524113525088
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,12.153034408084414,11.617713863700969,3.5655324189556366
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,1.208288711577857,11.617713863700969,0.3544952172375238
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.031495906883347725,11.617713863700969,0.009240464009735754
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.7665310214268419,11.617713863700969,0.22488961318290038
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,25.80085256992423,11.617713863700969,7.569613743014156
