,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,4.38798387815612,180.48513630594354,0.32662114909716394
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,0.656232707373917,180.48513630594354,0.048846916239737775
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,0.2371273990617932,180.48513630594354,0.017650662745035052
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.000423228408385132,180.48513630594354,3.1503157923042244e-05
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,0.0252447071111481,180.48513630594354,0.0018790988012310954
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,42.73627227697234,180.48513630594354,3.1810897092674657
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,0.655516486255533,180.48513630594354,0.04879360406467287
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,0.6352264674549151,180.48513630594354,0.04728330925961408
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,11.323213234104008,180.48513630594354,0.8428474262192082
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,78.62829430978383,180.48513630594354,5.852725204132544
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.00043702928683393276,180.48513630594354,3.2530431245521215e-05
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,0.03201369468693281,180.48513630594354,0.002382950811999255
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.000790860789674208,180.48513630594354,5.886800568825833e-05
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,0.04234037716700527,180.48513630594354,0.003151621115186457
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,93.98692321828435,180.48513630594354,6.995950239125
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,0.8190818104150597,180.48513630594354,0.060968647458835026
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,16.106504708215102,180.48513630594354,1.1988934375817974
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,0.8414858439572163,180.48513630594354,0.062636299707144
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,26.476498945811063,180.48513630594354,1.9707876669283835
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,1.4758850933129821,180.48513630594354,0.10985803469173781
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,0.0017877756161869152,180.48513630594354,0.00013307371729274277
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,0.09304749114617503,180.48513630594354,0.006926023276900149
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,126.8918324877134,180.48513630594354,9.445238927267363
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,1.5575584237311855,180.48513630594354,0.11593741824749408
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,77.53188175376052,180.48513630594354,5.771113343451923
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,1066.017679590706,180.48513630594354,79.34940718426694
