,m1,delta,ctau,Signal,Background,S/sqrt(B)
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,5.0,0.1,100.0,1.124126058892657,11.847380097408053,0.3265907307378492
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,5.0,0.2,10.0,3.8091727584665294,11.847380097408053,1.1066734952481752
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,5.0,0.1,10.0,56.0058417329137,11.847380097408053,16.271296828719127
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,5.0,0.1,1.0,789.2051584683949,11.847380097408053,229.28664215841786
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,5.0,0.2,1.0,71.62737528687836,11.847380097408053,20.80979855481631
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,5.0,0.2,100.0,0.08524569440665461,11.847380097408053,0.0247663092660173
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,10.0,0.2,10.0,3.195735667582562,11.847380097408053,0.9284524975329839
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,10.0,0.2,1.0,48.0122487321118,11.847380097408053,13.948929725224962
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,10.0,0.2,100.0,0.05722510748344394,11.847380097408053,0.01662552835754033
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,10.0,0.1,100.0,1.4479030035477334,11.847380097408053,0.4206571818395463
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,10.0,0.1,10.0,75.42335470772203,11.847380097408053,21.912639008617724
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,10.0,0.1,1.0,906.7085750788245,11.847380097408053,263.42474116556724
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,20.0,0.1,1.0,889.8116488464225,11.847380097408053,258.5157014348277
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,20.0,0.2,1.0,52.57716933386636,11.847380097408053,15.275169556864384
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,20.0,0.2,10.0,3.791670746277966,11.847380097408053,1.1015886607629073
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,20.0,0.2,100.0,0.08956554985079428,11.847380097408053,0.0260213506690902
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,20.0,0.1,100.0,1.8642066864057898,11.847380097408053,0.5416052934129063
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,20.0,0.1,10.0,83.15806513980391,11.847380097408053,24.159793330925364
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,30.0,0.1,1.0,1119.3265739577973,11.847380097408053,325.1963432671192
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,30.0,0.1,10.0,1085.1161077558404,11.847380097408053,315.2572256144374
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,30.0,0.1,100.0,285.1472017646226,11.847380097408053,82.84340733449156
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,30.0,0.2,10.0,813.8295819928757,11.847380097408053,236.44074058825097
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,30.0,0.2,1.0,3335.3688693630365,11.847380097408053,969.0199312687276
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,30.0,0.2,100.0,22.87680460945831,11.847380097408053,6.646365214333519
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,40.0,0.2,100.0,0.06750216627471022,11.847380097408053,0.01961130750030104
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,40.0,0.2,10.0,2.6923821309805325,11.847380097408053,0.7822139168703544
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,40.0,0.2,1.0,34.24532320090367,11.847380097408053,9.949244606565014
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,40.0,0.1,1.0,671.6497118182098,11.847380097408053,195.1334269384829
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,40.0,0.1,100.0,1.7570845834354079,11.847380097408053,0.5104832625601254
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,40.0,0.1,10.0,65.38780815992115,11.847380097408053,18.997026071374215
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,50.0,0.2,100.0,0.033254566253115535,11.847380097408053,0.009661401412287968
sig_2018_Mchi-60p0_dMchi-20p0_ctau-1,50.0,0.4,1.0,0.5041428060835571,11.847380097408053,0.14646788599247396
sig_2018_Mchi-60p0_dMchi-20p0_ctau-10,50.0,0.4,10.0,0.03932093880369709,11.847380097408053,0.01142385592399469
sig_2018_Mchi-60p0_dMchi-20p0_ctau-100,50.0,0.4,100.0,0.0010548811337755491,11.847380097408053,0.00030647310201197393
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,50.0,0.2,10.0,1.3134902273389,11.847380097408053,0.3816064308536752
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,50.0,0.2,1.0,18.090914986100117,11.847380097408053,5.2559275699442995
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,50.0,0.1,100.0,0.7834377767198026,11.847380097408053,0.22761105301535295
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,50.0,0.1,10.0,27.936599743325754,11.847380097408053,8.116380233628947
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,50.0,0.1,1.0,307.79402159433926,11.847380097408053,89.42295540080131
65,60.0,0.2,1.0,0.0,11.847380097408053,0.0
66,60.0,0.2,10.0,0.0,11.847380097408053,0.0
67,60.0,0.2,100.0,0.0,11.847380097408053,0.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,60.0,0.1,100.0,0.5000013817630969,11.847380097408053,0.14526468392771003
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,60.0,0.1,1.0,199.20707334188845,11.847380097408053,57.87534515031485
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,60.0,0.1,10.0,17.64681125160475,11.847380097408053,5.126902749262601
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,70.0,0.1,10.0,14.205249331326103,11.847380097408053,4.127030703301349
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,70.0,0.2,10.0,0.5697987128179574,11.847380097408053,0.16554280235796265
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,70.0,0.2,100.0,0.01563851626963406,11.847380097408053,0.004543435690109945
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,70.0,0.1,1.0,150.04530606040322,11.847380097408053,43.59244745053159
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,70.0,0.1,100.0,0.3961534517479694,11.847380097408053,0.1150938938450898
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,70.0,0.2,1.0,7.3948123618996595,11.847380097408053,2.1484042237408065
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,80.0,0.2,10.0,0.48349968266769267,11.847380097408053,0.1404704689699205
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,80.0,0.2,100.0,0.01362680698744533,11.847380097408053,0.003958976679214559
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,80.0,0.1,10.0,10.32260579681206,11.847380097408053,2.999011848920702
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,80.0,0.1,1.0,118.8468350802627,11.847380097408053,34.52840044734701
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,80.0,0.1,100.0,0.33273726327949804,11.847380097408053,0.09666967961334327
68,80.0,0.2,1.0,0.0,11.847380097408053,0.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,90.0,0.2,100.0,0.010191423944259561,11.847380097408053,0.00296089977354824
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,90.0,0.1,1.0,94.65719546819473,11.847380097408053,27.50061916366014
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,90.0,0.1,10.0,8.14345272390887,11.847380097408053,2.3659056337955513
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,90.0,0.2,10.0,0.35189264492563455,11.847380097408053,0.10223486515448861
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,90.0,0.2,1.0,3.828725416438277,11.847380097408053,1.112354100910098
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,90.0,0.1,100.0,0.2574252461022444,11.847380097408053,0.07478938733768006
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,100.0,0.2,100.0,0.008949326079543133,11.847380097408053,0.002600034863357241
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,100.0,0.2,10.0,0.27191531392631096,11.847380097408053,0.07899916594895483
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,100.0,0.2,1.0,2.7066226116237075,11.847380097408053,0.7863511832761293
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,100.0,0.1,100.0,0.2167128384765749,11.847380097408053,0.06296126997363428
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,100.0,0.1,10.0,6.712039853779907,11.847380097408053,1.950039306754359
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,100.0,0.1,1.0,75.02577150645332,11.847380097408053,21.797129731696106
