,Preselections,n(good vertex) > 0,No b-tagged jets
DY-M50,0.0003749705177365793,0.0001909243906058774,0.0001271963589192341
SingleTop,0.0002229452222603561,0.00011320176695544359,5.9852976865933734e-05
ZJets,0.0023187058776003304,0.0008330548854586934,0.0006213425616669203
Multiboson,0.0006260018573140773,0.00028980147218691415,0.00019288159956026268
TTbar,0.00041435346264770114,0.0001976825148574597,8.183710121881395e-05
QCD,2.1688027237188063e-06,4.17886673852034e-07,1.7860024547408917e-07
WJets,0.0009680228392532291,0.0004328595579237273,0.00031320732188752653
DY-M4to50,2.4939579509275033e-05,9.550875445188596e-06,6.085370137273266e-06
TTX,0.0012716537742563044,0.0005936045527109811,0.00021011850459756582
ZGamma,0.00031387237842596616,0.00011939109320966122,8.847654452270683e-05
Total,1.380630523490355e-05,5.47635254957269e-06,3.6890515375388974e-06
