,Preselections,n(good vertex) > 0,No b-tagged jets
TTbar,0.000414353462647701,5.6475302460167e-05,3.372837972248369e-05
DY-M50,0.00037497051773657927,0.00011275209741245189,8.777597259130978e-05
ZGamma,0.00031387237842596616,8.564675090078128e-05,6.786064572697581e-05
Multiboson,0.0006260018573140773,0.0001770072076843523,0.00013283387407859475
DY-M4to50,2.4939579509275033e-05,5.4366076528742566e-06,4.08995018200443e-06
SingleTop,0.00022294522226035606,6.2920784140995e-05,4.144049483253548e-05
WJets,0.0009680228392532291,0.0002818146906002456,0.00022776793087897335
ZJets,0.0023187058776003304,0.0005693587741440005,0.0004660420539859126
QCD,2.1688027237188067e-06,1.2230318127352777e-07,6.70841491525861e-08
TTX,0.0012716537742563044,0.0001425923475154402,6.932395485310313e-05
Total,1.3806305234903553e-05,3.2598009191634686e-06,2.5689864914661655e-06
