,Preselections,n(good vertex) > 0,No b-tagged jets
TTX,0.0012716537742563044,0.0012716537742563044,0.0003506050288354912
ZGamma,0.00031387237842596616,0.00031387237842596616,0.00020100313311733034
TTbar,0.00041435346264770114,0.00041435346264770114,0.00013691539587708148
DY-M4to50,2.4939579509275033e-05,2.4939579509275033e-05,1.3027088179136154e-05
SingleTop,0.0002229452222603561,0.0002229452222603561,9.824400513287952e-05
Multiboson,0.0006260018573140773,0.0006260018573140773,0.0003705103316668641
ZJets,0.0023187058776003304,0.0023187058776003304,0.0016307630977134308
WJets,0.0009680228392532291,0.0009680228392532291,0.0006355289702723931
QCD,2.1688027237188067e-06,2.1688027237188067e-06,8.270125531952331e-07
DY-M50,0.0003749705177365793,0.0003749705177365793,0.00021514919626501404
Total,1.3806305234903553e-05,1.3806305234903553e-05,8.20007718293673e-06
