,Preselections,n(good vertex) > 0,No b-tagged jets
DY-M50,0.0003749705177365793,1.1345255471703294e-05,7.862401108706593e-06
ZGamma,0.0003138723784259661,1.0357304327471271e-05,8.162009974333489e-06
QCD,2.1688027237188067e-06,2.321509808518788e-08,7.66150704449615e-09
TTX,0.0012716537742563044,2.6150032536538983e-05,8.33512410330971e-06
ZJets,0.0023187058776003304,4.445648184160333e-05,3.331487129588541e-05
TTbar,0.000414353462647701,8.06784467309428e-06,3.4414798438723176e-06
Multiboson,0.0006260018573140773,9.170400368436709e-06,5.675096322431802e-06
DY-M4to50,2.4939579509275033e-05,7.381496064317289e-07,4.81372501685265e-07
SingleTop,0.0002229452222603561,4.398951208736591e-06,2.5120862721886396e-06
WJets,0.0009680228392532291,1.3324646055312544e-05,9.44168056490395e-06
Total,1.3806305234903552e-05,2.072870618375481e-07,1.3403381808407008e-07
