,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,0.00031387237842596616,7.628451819578846e-06,6.616568764149109e-06
TTbar,0.00041435346264770114,2.299828445906206e-06,1.3981536851026085e-06
SingleTop,0.0002229452222603561,2.625426997753751e-06,1.879784974188509e-06
QCD,2.1688027237188067e-06,6.830506305255637e-09,2.6115864382163297e-09
DY-M4to50,2.4939579509275033e-05,4.4307074118432903e-07,3.254713257572913e-07
TTX,0.0012716537742563044,7.219872440782918e-06,3.3755366378015332e-06
ZJets,0.0023187058776003304,3.071401378381124e-05,2.532911090441622e-05
Multiboson,0.0006260018573140773,5.63235536911315e-06,3.925201831130147e-06
WJets,0.0009680228392532291,8.443184717155055e-06,6.792068703927067e-06
DY-M50,0.00037497051773657927,7.549054181287544e-06,5.943284555897659e-06
Total,1.3806305234903553e-05,1.1976291253709481e-07,9.270991312041564e-08
