,Preselections,n(good vertex) > 0,No b-tagged jets
TTX,0.0012716537742563044,0.00019256176103370397,9.270351578738513e-05
SingleTop,0.0002229452222603561,9.710474709175272e-05,5.998777454902043e-05
TTbar,0.00041435346264770114,8.29347966720493e-05,4.654899843954013e-05
QCD,2.1688027237188067e-06,4.4257467991601913e-07,2.1882587320862823e-07
Multiboson,0.0006260018573140773,0.00030946550533067534,0.0002213068768032325
DY-M4to50,2.4939579509275033e-05,1.0580687644438817e-05,7.3459103632656895e-06
ZJets,0.0023187058776003304,0.0013428890029494062,0.001074786451865122
DY-M50,0.0003749705177365793,0.00017955339831995427,0.00013237763669115228
ZGamma,0.00031387237842596616,0.00018986170764101126,0.000139842027566346
WJets,0.0009680228392532291,0.0005325765709605914,0.0004141186376601824
Total,1.3806305234903555e-05,6.541975290880196e-06,4.928207119677079e-06
