,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,110.44808217393015,10.390813495525155,9.118721610273546,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,3.7592313819363836,0.4193225673421461,0.39353237413443504,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,2.2958275814144846,0.4854534715077123,0.4181330153274313,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,68.5827672752021,10.686258769083416,9.156711982166572,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2.2253113258392108,0.5610036762331947,0.4921784847777356,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,61.694863519862224,13.870391985584678,12.120864242686189,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,503.27086478232974,130.44137013172397,114.63786742071568,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,8194.018592753282,2017.3901354153213,1771.9049045635277,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,1.399774492710999,0.400052707915467,0.3559948994969782,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,38.93919186648724,9.968158218362431,8.72522514524497,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.5944448327617264,0.1807411620499462,0.1555175357712002,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,16.343190252845265,4.517268194298318,3.9225225566690307,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,10.581797590100742,3.0502547568002467,2.6689238901978944,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.2778034044603435,0.09071170517233089,0.07840519251693569,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,7.81785442692015,2.2857287167374913,1.9243953977180404,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,5.892200243957863,1.8622242733377627,1.6054953136064893,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.22167852130022644,0.07875364091103754,0.06828886182112863,80.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,4.581922771748586,1.5006361388025333,1.2933620711161091,90.0,0.1,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.17109597667189394,0.06162578341731584,0.05294196602075749,90.0,0.2,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.1393070432510847,0.05213035530476996,0.04524156197096541,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,3.613831173849892,1.242306606668279,1.0726698172292808,100.0,0.1,100.0
