,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2689,1432,1250,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,583,302,268,5.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3318,1872,1596,10.0,0.1,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1807,1010,863,10.0,0.2,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2360,1379,1203,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2610,1597,1383,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2164,1292,1113,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5208,3304,2888,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4510,2758,2393,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6078,3842,3338,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3180,1984,1685,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,6046,3892,3362,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3442,2235,1945,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4425,2827,2422,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4196,2777,2351,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4797,3143,2676,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5382,3489,2976,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,12080,7952,6724,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13749,9051,7711,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6734,4460,3816,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16509,11156,9474,100.0,0.1,100.0
