,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,2689,2593,2198,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,583,555,481,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,1807,1730,1420,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,3318,3200,2677,10.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2360,2254,1846,20.0,0.2,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,2610,2547,2156,20.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,2164,2084,1660,30.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,5208,5042,4293,30.0,0.1,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,4510,4314,3397,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,6078,5881,4932,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,3180,3058,2366,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,6046,5850,4843,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,3442,3323,2757,60.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,4425,4235,3316,70.0,0.2,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,4196,4061,3315,70.0,0.1,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,4797,4626,3696,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,5382,5162,4048,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,12080,11575,8995,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,13749,13297,10659,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,6734,6457,5083,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,16509,15990,12789,100.0,0.1,100.0
