,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,0.00405029379938342,0.003914504709173306,0.003343900737742506,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,0.004919914434607457,0.004723364531780635,0.003850384255983502,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,0.006674026940807194,0.006407669141315798,0.00520638208079556,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,0.005639001254343149,0.005471125943492917,0.004575889071330144,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,0.009663238937385993,0.009330421637200286,0.007602971531887413,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,0.008417038050360265,0.008252047677955903,0.006912438206463665,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,0.01252823284605551,0.012150111042778196,0.009833982409801628,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,0.010931604697521188,0.0106542249533897,0.009011097322650834,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,0.016957106880001304,0.016482953969930686,0.013248341340240496,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,0.014514106580446185,0.014083971407112558,0.011823304839030024,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,0.021553250174175313,0.020871539451033837,0.016808669579722584,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,0.018737326562158547,0.01830919283492869,0.01522440122888945,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,0.022975174099629306,0.02232938456461346,0.018498988686837803,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,0.032949563720200546,0.03186001374884067,0.025803834348356307,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,0.027889745720711075,0.027152762609771817,0.022527904452402783,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,0.03264120238697272,0.03185295592730576,0.026479234028675833,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,0.038497388685334324,0.03743319684933491,0.03012372989972324,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,0.04527900021883168,0.04386921288988172,0.03586241998433391,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,0.03757387454106012,0.036601166860597764,0.030284901337942285,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,0.051483929250728,0.04983007866872785,0.040289919399729535,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,0.043000357661592534,0.04193542708630508,0.03479754127147859,100.0,0.1,10.0
