,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2339.5910290714796,1620.4229373592707,1403.2879602818848,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,93.00132653015598,61.82257991458664,52.17063032135737,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1639.6194775269557,1164.1793361502519,991.075558899736,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,62.05600594310177,43.65267154048156,36.70454430532661,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.9889298671876,40.30563659602078,34.689330899409825,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1507.7581407732698,1124.8064369201031,962.7653571781196,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9558.99601393425,7281.6299783342065,6256.692639906702,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,14106.311859737383,10936.559321171559,9404.860418460747,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,31.007012466551814,24.27056337433936,20.55807624183478,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,841.5372291124277,664.3812986163131,569.9432851056599,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.554458185086705,9.921888820702707,8.394352172762055,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,347.16620312145193,271.8208994841635,230.92533307253413,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,219.84570880685405,171.75534672519527,145.68485205085014,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.87811093199996,4.719464263564723,3.9996646243841587,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,158.65961189588973,125.66394235055932,107.0729528217147,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,119.29774071334235,96.28302897763126,81.78849326431022,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.407458060915778,3.553077729192874,2.9820172907476854,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.476253525599774,2.816501144188965,2.3901418100005305,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,92.11696225070527,74.81616355283185,63.386002047826516,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.752362389340876,2.2363618331502364,1.8842406350585161,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,73.16500088706307,59.57939265258422,50.863396150628574,100.0,0.1,10.0
