,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2339.5910290714796,1586.4315450547645,1388.9028739218074,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,93.00132653015598,60.649285145966,51.71487586759555,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1639.6194775269557,1146.5474422830248,983.8448634409947,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,62.05600594310177,42.871752246500996,36.40570260275457,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.9889298671876,39.717941694933536,34.52611029107312,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1507.7581407732698,1109.5866110774318,955.1541644987229,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9558.99601393425,7182.902960709877,6211.077969384063,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,14106.311859737383,10811.466462052105,9364.792989947508,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,31.007012466551814,23.971557595274714,20.453410265765847,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,841.5372291124277,655.0247528666812,566.0417900304982,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.554458185086705,9.796102123755201,8.354143073489167,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,347.16620312145193,269.05893078530573,229.8565725008536,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,219.84570880685405,169.01985890878163,144.8327326662312,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.87811093199996,4.643544445624871,3.9707997535572326,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,158.65961189588973,123.92199393585449,106.4602320388625,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,119.29774071334235,94.72551204162826,81.18261880073175,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.407458060915778,3.4937538474718517,2.958282583595555,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.476253525599774,2.772339727317507,2.37456604318473,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,92.11696225070527,73.74037137137205,63.02442732075885,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.752362389340876,2.2012438263744936,1.8700728555009203,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,73.16500088706307,58.751610850016625,50.56686848874536,100.0,0.1,10.0
