,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2339.5910290714796,2317.3820536823337,1957.7067820565392,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,93.00132653015598,92.15494297047599,73.7617396495359,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1639.6194775269557,1625.610139713895,1342.2533776287837,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,62.05600594310177,61.54057983855526,49.15732257531603,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.9889298671876,54.608131373643495,43.73285737123882,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1507.7581407732698,1502.3912395989835,1248.9874236041442,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9558.99601393425,9505.835127294424,7577.395801890846,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,14106.311859737383,13998.62016658519,11705.60201658515,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,31.007012466551814,30.807781222962145,24.394795112784088,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,841.5372291124277,834.9128920899427,691.2423321697848,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.554458185086705,12.479070052884262,9.861230198486998,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,347.16620312145193,344.5802382282911,283.7714730774365,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,219.84570880685405,218.2838774190764,178.47014607433704,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.87811093199996,5.843155261409666,4.654211889897574,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,158.65961189588973,157.41496258242418,128.90370488348725,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,119.29774071334235,118.79073373664063,97.5559907824053,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.407458060915778,4.388476448584873,3.481211319083953,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.476253525599774,3.457686065143628,2.7802584717326253,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,92.11696225070527,91.59220331357999,74.7749498832203,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.752362389340876,2.737596545115538,2.1762767076736638,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,73.16500088706307,72.71479689454284,59.628522278578664,100.0,0.1,10.0
