,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,2339.5910290714796,2261.154512355156,1931.553747858693,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,93.00132653015598,89.28593636733373,72.78395757016132,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,62.05600594310177,59.57937506719607,48.40964536304852,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,1639.6194775269557,1590.8073533491263,1330.5045539007563,10.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,54.9889298671876,53.09502376623288,43.26492090883511,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,1507.7581407732698,1478.2031386866104,1238.23664762234,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,9558.99601393425,9270.49045575032,7503.292747786847,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,14106.311859737383,13748.376745674928,11628.059424851048,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,31.007012466551814,30.139997515378116,24.22532853068502,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,841.5372291124277,816.5977152743085,685.5228145143615,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,12.554458185086705,12.157371495198072,9.790808239140224,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,347.16620312145193,339.2337181953045,282.0785319558543,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,219.84570880685405,213.66625365017265,177.01381771611685,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,5.87811093199996,5.683738234018399,4.603332598227983,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,158.65961189588973,154.46705110575618,128.15708730508936,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,119.29774071334235,116.41684127070758,96.77685147718763,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,4.407458060915778,4.285621722241639,3.4487813512910694,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,3.476253525599774,3.3680184022771984,2.7533042537284476,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,92.11696225070527,89.73225005967996,74.24715037745086,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,2.752362389340876,2.663946524317863,2.153923766877658,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,73.16500088706307,71.35302417982835,59.20792933937318,100.0,0.1,10.0
