,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1789,1772,1497,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1426,1413,1131,5.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3628,3597,2970,10.0,0.1,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3733,3702,2957,10.0,0.2,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,5052,5017,4018,20.0,0.2,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3367,3355,2789,20.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,5036,5008,3992,30.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5634,5591,4675,30.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6223,6183,4896,40.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6479,6428,5322,40.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2499,2484,1963,50.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7792,7734,6369,50.0,0.1,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6190,6146,5025,60.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7741,7695,6129,70.0,0.2,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8286,8221,6732,70.0,0.1,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9646,9605,7888,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5572,5548,4401,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,23220,23096,18571,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,31600,31420,25651,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13788,13714,10902,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,27137,26970,22116,100.0,0.1,10.0
