,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.008763662502496298,0.006676741595677068,0.005690951079994854,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.00798908269542234,0.006024185852071236,0.005159881899285691,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010215143894964229,0.008330871789657997,0.007125363585408748,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009289377626114068,0.007447612279766772,0.006311686185308111,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.013055442217561958,0.010948192257590866,0.009391359008718441,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01170682073523286,0.009567962133023303,0.008109186671812587,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.017071901906029047,0.014753955445975941,0.012732406467572979,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014768538293440447,0.01222971280650732,0.010583196713081973,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.022328638764376747,0.019427322319288755,0.016556047532694875,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.01962310937031886,0.01669928077053699,0.014345847979453446,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.02432813992508951,0.020543868131410476,0.017595422653900263,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.028938229693327135,0.025648391404762518,0.02151748420023156,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.030073886709453594,0.02560998358646478,0.021878953996278882,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.04216370370952496,0.037048612315510154,0.03150689154121646,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.0360351765558472,0.030887974581771,0.026173676191835256,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04153772495941606,0.035876803338155745,0.030765509168316954,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.05784867150762163,0.05073799010165678,0.04292967893363072,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.048872664888312975,0.04238702485769904,0.03635082355606637,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06410983637037637,0.05634794486806054,0.04775543184634419,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.05626132150046083,0.04918859459176052,0.04153179973254756,100.0,0.1,1.0
