,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.008763662502496298,0.0086957118506529,0.006945122043436305,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.00798908269542234,0.007935007594372129,0.006538974864522543,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010215143894964229,0.010149751403460923,0.008274772148320063,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009289377626114068,0.009219167473880966,0.007615520723418885,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.013055442217561958,0.012962543630708104,0.010719108980027045,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01170682073523286,0.01160017902503434,0.00956577470271029,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.017071901906029047,0.0169622505714537,0.014240480444705148,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014768538293440447,0.014635396704465125,0.01238857273743737,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.022328638764376747,0.02218388623492197,0.01837530147055854,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.01962310937031886,0.019488795534179218,0.016450781320355084,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.02432813992508951,0.024166058469027023,0.020313506787488757,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.028938229693327135,0.02880489731345379,0.023428986014274317,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.030073886709453594,0.029880774305221576,0.025090174336017596,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.04216370370952496,0.041925656120466885,0.034489811597062034,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.0360351765558472,0.035815052291631365,0.029846022642714454,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04153772495941606,0.04129659367290283,0.034701360582289134,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.05784867150762163,0.057554679257734796,0.046848962928361534,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.048872664888312975,0.04856859549980006,0.04081962977750567,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06410983637037637,0.06372560687983093,0.05188476577608803,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.05626132150046083,0.055955939869869,0.046225820218221685,100.0,0.1,1.0
