,Preselections,n(good vertex) > 0,No b-tagged jets,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,2578,1964,1674,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,1923,1450,1242,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,4533,3697,3162,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,4767,3822,3239,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,5477,4593,3940,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,4718,3856,3268,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,6850,5920,5109,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,6323,5236,4531,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,6788,5906,5033,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,7597,6465,5554,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,8853,7476,6403,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,651,577,484,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,9197,7832,6691,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,12044,10583,9000,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,10969,9402,7967,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,12401,10711,9185,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,28531,25024,21173,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,36636,31774,27249,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,16519,14519,12305,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,4423,3867,3265,100.0,0.1,1.0
