,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
QCD,2.1688027237188067e-06,1.6384591779932244e-08,5.049920606279823e-09,5.049920606279823e-09,5.049920606279823e-09,4.707815016136874e-09,0.0,0.0
TTX,0.0012716537742563044,1.89301602414527e-05,4.959587386120599e-06,4.8740764351921806e-06,4.847545364855461e-06,4.783964172892581e-06,2.162509025731769e-08,1.7606202793700288e-06
DY-M4to50,2.4939579509275033e-05,2.9507886524739993e-07,1.559011759279736e-07,1.548065843621695e-07,1.548065843621695e-07,1.5305757850305736e-07,7.453420109987077e-08,1.5797944013218276e-08
WJets,0.0009680228392532291,4.881461338157486e-06,2.649611860976885e-06,2.5208141037974456e-06,2.501998750453937e-06,2.478738329646279e-06,1.5611153783237267e-06,5.215044684004013e-07
SingleTop,0.00022294522226035612,1.7735238078401552e-06,6.323012637839711e-07,5.924718251747752e-07,5.924718251747752e-07,5.877317655912356e-07,3.323474730056541e-07,1.2056939162085862e-07
ZGamma,0.0003138723784259661,2.7288528201980234e-06,1.5454410477959738e-06,1.3763163214952355e-06,1.3763163214952355e-06,1.3763163214952355e-06,9.794428299237023e-07,1.9588857394827054e-07
ZJets,0.0023187058776003304,1.3742468057792092e-05,7.985760391469192e-06,7.506757541793945e-06,7.409031528197605e-06,7.343524554837228e-06,5.005210840478453e-06,1.7143407275373256e-06
DY-M50,0.00037497051773657927,3.7962012904157483e-06,1.9191165528089337e-06,1.8247587125300032e-06,1.8237908131161515e-06,1.8146626705748396e-06,1.163474678215033e-06,4.762872784319977e-07
Multiboson,0.0006260018573140773,3.5380450013825073e-06,1.7498945506387906e-06,1.5982827779889488e-06,1.5267483436598648e-06,1.4951592059236628e-06,9.93269318068382e-07,2.7917227613678944e-07
TTbar,0.000414353462647701,5.76801627075103e-06,2.043326035253963e-06,1.9087509936208013e-06,1.8786796444896077e-06,1.8675580149807848e-06,1.1664697481992388e-06,4.34498454627073e-07
Total,1.3806305234903553e-05,8.752414918834615e-08,4.132390463665923e-08,3.934346853987982e-08,3.9003677620240097e-08,3.836928023505335e-08,2.1561849035438323e-08,7.36946977163241e-09
