,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,0.0018355667168386978,2.044923730515058e-06,1.3632461556531759e-06,6.816679224716922e-07,6.816679224716922e-07,6.816679224716922e-07,6.816679224716922e-07,0.0,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,0.0019858954950045713,1.0211139347789793e-05,6.8009121418356965e-06,6.8009121418356965e-06,6.8009121418356965e-06,6.8009121418356965e-06,3.409151244840559e-06,0.0,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,0.0024673627086135206,8.1806566370512e-06,4.089519276667682e-06,2.7301120342191475e-06,2.7301120342191475e-06,2.7301120342191475e-06,1.3656309150800405e-06,0.0,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,0.0023086230777789605,4.870043838520326e-06,3.481944314778137e-06,2.785558690884514e-06,2.785558690884514e-06,2.785558690884514e-06,2.090169452295221e-06,0.0,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,0.0033920777102450315,9.121099870120797e-06,2.5987937898657344e-06,2.5987937898657344e-06,2.5987937898657344e-06,2.5987937898657344e-06,2.5987937898657344e-06,0.0,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,0.003908501818961255,1.3244329457897469e-05,6.627547407747165e-06,6.627547407747165e-06,6.627547407747165e-06,6.627547407747165e-06,1.6526080870979167e-06,0.0,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,0.004728859304907245,1.3625294611820351e-05,6.359491323045052e-06,6.359491323045052e-06,6.359491323045052e-06,6.359491323045052e-06,5.4580324576917426e-06,0.0,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,0.005550480075416692,2.3071656851813833e-05,5.136002237610922e-06,5.136002237610922e-06,5.136002237610922e-06,5.136002237610922e-06,2.566275601400975e-06,0.0,30.0,0.2,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,0.007651553100853787,2.7159905020988935e-05,1.5286936012547156e-05,1.5286936012547156e-05,1.5286936012547156e-05,1.5286936012547156e-05,8.492871457472365e-06,0.0,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,0.006617018034462653,2.5048267526292733e-05,9.795745214654307e-06,9.795745214654307e-06,8.712214151586823e-06,8.712214151586823e-06,4.351255641853474e-06,0.0,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.010203898828411074,2.885340179143971e-05,6.4231926624737926e-06,3.211404128627063e-06,3.211404128627063e-06,3.211404128627063e-06,3.211404128627063e-06,0.0,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,0.008768426701075858,3.335625441342147e-05,8.687379866763584e-06,8.687379866763584e-06,8.687379866763584e-06,8.687379866763584e-06,4.345424079435314e-06,0.0,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,0.011007984287985505,2.5585554703946215e-05,9.569023243190371e-06,6.367480296891392e-06,6.367480296891392e-06,6.367480296891392e-06,6.367480296891392e-06,0.0,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,0.013686654659428905,5.5454324848949255e-05,2.6106793382168482e-05,2.28373023538651e-05,2.28373023538651e-05,2.28373023538651e-05,1.6292468514264645e-05,0.0,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.015570306770111413,3.518196044287412e-05,1.7596174170335976e-05,1.7596174170335976e-05,1.7596174170335976e-05,1.7596174170335976e-05,1.4086481699766196e-05,0.0,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,0.016073129355739416,7.035626626974223e-05,3.0110901868655848e-05,3.0110901868655848e-05,3.0110901868655848e-05,3.0110901868655848e-05,2.3428656437734892e-05,0.0,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.01936085298339917,7.914879128430244e-05,3.596101693223885e-05,2.8776063491410887e-05,2.8776063491410887e-05,2.8776063491410887e-05,2.1582489796477435e-05,3.596088800060107e-06,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.022283842925585023,6.82609205394198e-05,2.5822114543455952e-05,2.3981192505190238e-05,2.3981192505190238e-05,2.3981192505190238e-05,1.6589437524239796e-05,1.8421893516147949e-06,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,0.018630260359173124,7.182098836751939e-05,3.1198895648839675e-05,2.5766018439673244e-05,2.5766018439673244e-05,2.5766018439673244e-05,1.0853655814111386e-05,0.0,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.02605760977829798,0.00011987544066083203,2.709735561360411e-05,2.3223301977473068e-05,2.3223301977473068e-05,2.3223301977473068e-05,1.9353480509837458e-05,3.8811457842429986e-06,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,0.02119485938134613,7.062443179261122e-05,3.2110701125060166e-05,2.826234160042952e-05,2.826234160042952e-05,2.826234160042952e-05,1.7981872088348716e-05,0.0,100.0,0.1,100.0
