,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-100,110.44808217393015,0.12304532554192874,0.08202803092997443,0.041016713816946916,0.041016713816946916,0.041016713816946916,0.041016713816946916,0.0,5.0,0.1,100.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-100,3.7592313819363836,0.019329333078248637,0.012873891105393784,0.012873891105393784,0.012873891105393784,0.012873891105393784,0.006453405215737507,0.0,5.0,0.2,100.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-100,2.2958275814144846,0.007611923887743843,0.0038052091479390646,0.0025403101403092907,0.0025403101403092907,0.0025403101403092907,0.0012706900002694961,0.0,10.0,0.2,100.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-100,68.5827672752021,0.1446754502335658,0.1034388761440364,0.08275119713874772,0.08275119713874772,0.08275119713874772,0.062093117968140155,0.0,10.0,0.1,100.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-100,61.694863519862224,0.1658939032966572,0.04726667307702988,0.04726667307702988,0.04726667307702988,0.04726667307702988,0.04726667307702988,0.0,20.0,0.1,100.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-100,2.2253113258392108,0.007540678682257331,0.003773403977311101,0.003773403977311101,0.003773403977311101,0.003773403977311101,0.0009409148732006572,0.0,20.0,0.2,100.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-100,8194.018592753282,23.60948173381677,11.019526440004,11.019526440004,11.019526440004,11.019526440004,9.4575068858079,0.0,30.0,0.1,100.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-100,503.27086478232974,2.09194385674861,0.46568949938125487,0.46568949938125487,0.46568949938125487,0.46568949938125487,0.23268829428054522,0.0,30.0,0.2,100.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-100,1.399774492710999,0.004968630782761155,0.0027965908123516784,0.0027965908123516784,0.0027965908123516784,0.0027965908123516784,0.0015536852034283843,0.0,40.0,0.2,100.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-100,38.93919186648724,0.14740163772405682,0.0576450601165127,0.0576450601165127,0.051268800638551354,0.051268800638551354,0.025605851067024753,0.0,40.0,0.1,100.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-100,0.5944448327617264,0.0016809021620993576,0.0003741936050374529,0.00018708560544100354,0.00018708560544100354,0.00018708560544100354,0.00018708560544100354,0.0,50.0,0.2,100.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-100,16.343190252845265,0.062171656396918816,0.016192129648963632,0.016192129648963632,0.016192129648963632,0.016192129648963632,0.008099297043880476,0.0,50.0,0.1,100.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-100,10.581797590100742,0.024594980699882085,0.009198547567416658,0.006120956016824941,0.006120956016824941,0.006120956016824941,0.006120956016824941,0.0,60.0,0.1,100.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-100,7.81785442692015,0.031675661423484464,0.014912271500535682,0.013044729318356896,0.013044729318356896,0.013044729318356896,0.009306302399611784,0.0,70.0,0.1,100.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-100,0.2778034044603435,0.0006277119989299754,0.0003139486692311019,0.0003139486692311019,0.0003139486692311019,0.0003139486692311019,0.0002513291890032154,0.0,70.0,0.2,100.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-100,5.892200243957863,0.025791692464075783,0.011038265132416921,0.011038265132416921,0.011038265132416921,0.011038265132416921,0.008588640837929467,0.0,80.0,0.1,100.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-100,0.22167852130022644,0.0009062403929025627,0.0004117476159147774,0.00032948110339389784,0.00032948110339389784,0.00032948110339389784,0.000247115890408479,4.1174613966913696e-05,80.0,0.2,100.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-100,0.17109597667189394,0.0005241092798587818,0.00019826292629596449,0.00018412827478339925,0.00018412827478339925,0.00018412827478339925,0.0001273741708342551,1.414438198032764e-05,90.0,0.2,100.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-100,4.581922771748586,0.017663640536756998,0.0076730505999848,0.006336889788440543,0.006336889788440543,0.006336889788440543,0.0026693460946138714,0.0,90.0,0.1,100.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-100,0.1393070432510847,0.0006408681893298403,0.00014486564664109168,0.00012415450075943825,0.00012415450075943825,0.00012415450075943825,0.00010346598054777735,2.074906133868046e-05,100.0,0.2,100.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-100,3.613831173849892,0.01204182432426046,0.005475037633042749,0.004818872788159069,0.004818872788159069,0.004818872788159069,0.003066000521534416,0.0,100.0,0.1,100.0
