,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0,m1,delta,ctau
sig_2018_Mchi-5p25_dMchi-0p5_ctau-10,1789,8,3,2,2,2,1,0,5.0,0.1,10.0
sig_2018_Mchi-5p5_dMchi-1p0_ctau-10,1426,6,2,2,2,2,1,0,5.0,0.2,10.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-10,3733,17,7,5,5,5,3,1,10.0,0.2,10.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-10,3628,12,5,5,5,5,3,0,10.0,0.1,10.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-10,3367,12,5,4,4,3,2,0,20.0,0.1,10.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-10,5052,28,5,3,3,3,2,0,20.0,0.2,10.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-10,5634,21,7,7,6,6,3,0,30.0,0.1,10.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-10,5036,29,15,14,14,14,10,0,30.0,0.2,10.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-10,6479,36,15,14,14,14,8,0,40.0,0.1,10.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-10,6223,34,10,9,9,9,8,0,40.0,0.2,10.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-10,7792,23,6,6,6,6,2,0,50.0,0.1,10.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-10,2499,11,2,2,2,2,1,0,50.0,0.2,10.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-10,6190,36,11,11,11,11,8,0,60.0,0.1,10.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-10,8286,41,15,15,15,15,8,0,70.0,0.1,10.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-10,7741,52,21,20,20,20,12,2,70.0,0.2,10.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-10,9646,62,25,25,25,25,12,1,80.0,0.1,10.0
sig_2018_Mchi-88p0_dMchi-16p0_ctau-10,5572,43,17,17,17,17,9,2,80.0,0.2,10.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-10,23220,160,59,58,58,58,45,6,90.0,0.2,10.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-10,31600,196,69,68,68,68,41,0,90.0,0.1,10.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-10,13788,83,35,33,33,33,20,3,100.0,0.2,10.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-10,27137,162,64,62,61,61,41,2,100.0,0.1,10.0
