,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
QCD,30275,161,43,43,43,36,0,0
TTX,130908,1800,537,515,501,486,310,122
DY-M4to50,24340,320,169,168,168,163,76,26
WJets,1118768,6091,2773,2700,2693,2607,1268,475
SingleTop,43674,301,106,95,95,93,49,15
ZGamma,6251,68,35,31,31,31,17,3
ZJets,709551,5537,3151,3040,3031,2979,1704,577
DY-M50,254356,3035,1217,1194,1193,1162,578,238
Multiboson,23952,152,81,76,74,72,47,18
TTbar,484904,6660,2342,2181,2143,2129,1321,495
Total,2826979,24125,10454,10043,9972,9758,5370,1969
