,Preselections,n(good vertex) > 0,No b-tagged jets
TTbar,20615.754486871563,2809.873875919633,1678.1228064453317
DY-M50,4144.21710346463,1246.1490929173656,970.1101011405267
ZGamma,1609.7063743964527,439.2426041524121,348.0258904755394
Multiboson,4362.918680339711,1233.6513764900374,925.7854171327574
DY-M4to50,355.3310703712196,77.4590291614876,58.2722886484963
SingleTop,3467.5443971190857,978.6287873693686,644.5383947389164
WJets,169523.9091901544,49352.480210717426,39887.60230134998
ZJets,49623.76224876413,12185.12650324152,9973.994678814941
QCD,46583.79656446687,2626.9547033139074,1440.9030026788162
TTX,394.77209721947895,44.266357097897796,21.5209230680049
Total,300681.7122131676,70993.83254038104,55948.875804493306
