,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,1609.7063743964527,173.05911070765333,105.7294174273081
DY-M4to50,355.3310703712196,58.61875810268566,28.43009876257444
ZJets,49623.76224876413,5643.48987088715,3323.6623690497486
SingleTop,3467.544397119086,782.0376464743448,286.37568075954755
WJets,169523.90919015443,26451.56222919087,14962.477097926332
QCD,46583.79656446687,6348.849130215771,2395.258493495843
TTbar,20615.754486871563,7025.627442140976,2393.6027536150195
TTX,394.77209721947895,140.01219857064797,43.708249793800796
DY-M50,4144.21710346463,863.9691366264499,435.6786240995458
Multiboson,4362.918680339711,786.1193984532098,418.50250314855975
Total,300681.7122131676,48273.34492136976,24393.425288078284
