,Preselections,n(good vertex) > 0,No b-tagged jets
TTX,394.77209721947895,394.77209721947895,108.84179745389261
ZGamma,1609.7063743964527,1609.7063743964527,1030.8521771658327
TTbar,20615.754486871563,20615.754486871563,6812.09267285557
DY-M4to50,355.3310703712196,355.3310703712196,185.60574306359945
SingleTop,3467.544397119086,3467.544397119086,1528.0230995541363
Multiboson,4362.918680339711,4362.918680339711,2582.2710083065945
ZJets,49623.76224876413,49623.76224876413,34900.76125081448
WJets,169523.9091901544,169523.9091901544,111296.29495858005
QCD,46583.79656446687,46583.79656446687,17763.434227087422
DY-M50,4144.21710346463,4144.21710346463,2377.853555901468
Total,300681.7122131676,300681.7122131676,178586.03049078307
